disease,medication
Peripheral arterial embolism,"Pneumococcal 13-Valent Vaccine, Bendamustine HCl, Darbepoetin Alfa In Polysorbat, Certolizumab Pegol, Everolimus, "
Rosacea,"Ranibizumab, Naproxen Esomeprazole Mag, Omalizumab, Capecitabine, "
Fracture of the skull,"Epoetin Alfa, Duloxetine HCl, "
Uveitis,"Omalizumab, Pneumococcal 13-Valent Vaccine, Esomeprazole Magnesium, "
Fracture of the facial bones,"Paclitaxel Protein-Bound, Emtricitabine Tenofovir, Bortezomib, Infliximab, Denosumab, "
Tracheitis,"Divalproex Sodium, Treprostinil Sodium, Chlorpromazine HCl, Imatinib Mesylate, Ibrutinib, "
Jaw disorder,"Arformoterol Tartrate, Natalizumab, Formoterol Fumarate, Everolimus, Capecitabine, "
Perirectal infection,"Carbamazepine, Glatiramer Acetate, Sipuleucel-T Lactated Ringers, "
Breast cyst,"Abiraterone Acetate, Alteplase, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Hydroxychloroquine Sulfate, "
Post-traumatic stress disorder (PTSD),"Sirolimus, Clomipramine HCL, Pneumococcal 13-Valent Vaccine, Chlorpromazine HCl, Certolizumab Pegol, Denosumab, "
Kidney cancer,"Raltegravir Potassium, Bupropion HCl, Insulin Glargine,Hum.Rec.Anlog, Dimethyl Fumarate, Imatinib Mesylate, "
Vulvar cancer,"Insulin Glargine,Hum.Rec.Anlog, Propranolol HCl, "
Blepharitis,"Chlorpromazine HCl, Rituximab, Lenalidomide, Treprostinil Sodium, Alteplase, "
Celiac disease,"Corticotropin, Methylprednisolone Acetate (40 mg), "
Cystitis,"Pregabalin, Enalapril Maleate, Certolizumab Pegol, Hydroxychloroquine Sulfate, Divalproex Sodium, "
Sickle cell anemia,"Diclofenac Sodium, Alteplase, Aflibercept, Econazole Nitrate, Octreotide Acetate, Prednisolone Acetate, "
Subconjunctival hemorrhage,"Arformoterol Tartrate, Sirolimus, Memantine HCl, Diclofenac Sodium, Sitagliptin Phosphate, "
Hemorrhoids,"Epoetin Alfa, Infliximab, Bevacizumab, Econazole Nitrate, Ipilimumab, "
Contact dermatitis,"Duloxetine HCl, Octreotide Acetate,mi-Spheres, Bendamustine HCl, Immun Glob G(IGG) Malt Iga 50+, Econazole Nitrate, Clobetasol Propionate, "
Sinus bradycardia,"Glatiramer Acetate, Cyclophosphamide, Insulin Glargine,Hum.Rec.Anlog, Gemcitabine HCl, Enalapril Maleate, "
Pelvic inflammatory disease,"Dimethyl Fumarate, Metformin HCl, Duloxetine HCl, "
Liver disease,"Hydroxychloroquine Sulfate, Natalizumab, Infliximab, Azacitidine, Daptomycin, Methylprednisolone Acetate (40 mg), "
Chronic constipation,"Adalimumab, Arformoterol Tartrate, Octreotide Acetate, Cetuximab, "
Thyroid cancer,"Duloxetine HCl, Immun Glob G(IGG) Malt Iga 50+, "
Flu,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Propranolol HCl, Albuterol Sulfate, Rituximab, Thyrotropin Alfa, "
Friedrich ataxia,"Glucagon,human Recombinant, Octreotide Acetate, Epoetin Alfa, Ipilimumab, Sofosbuvir, Clobetasol Propionate, "
Tic (movement) disorder,"Everolimus, Corticotropin, Aripiprazole, "
Skin polyp,"Arformoterol Tartrate, Carfilzomib, "
Brachial neuritis,"Darunavir Ethanolate, Immun Glob G(IGG) Pro Iga 0-50, Sipuleucel-T Lactated Ringers, Immun Glob G(IGG) Malt Iga 50+, Paclitaxel Protein-Bound, Efavirenz Emtricitab Tenofovir, "
Cervical cancer,"Bosentan, Adalimumab, Capecitabine, Bevacizumab, Paliperidone Palmitate, "
Adrenal adenoma,"Dimethyl Fumarate, Emtricitabine Tenofovir, Infliximab, Chlorpromazine HCl, "
Esophagitis,"Propranolol HCl, Naproxen Esomeprazole Mag, Divalproex Sodium, Memantine HCl, "
Gas gangrene,"Adalimumab, Sirolimus, "
Yeast infection,"Azacitidine, Certolizumab Pegol, Hydroxychloroquine Sulfate, Carfilzomib, "
Spina bifida,"Pemetrexed Disodium, Darbepoetin Alfa In Polysorbat, "
Drug poisoning due to medication,"Sitagliptin Phosphate, Immun Glob G (IGG) Gly Iga 50+, Dimethyl Fumarate, Abiraterone Acetate, Capecitabine, "
Alcoholic liver disease,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Pregabalin, Raltegravir Potassium, Bortezomib, Adalimumab, "
Malignant hypertension,"Certolizumab Pegol, Bosentan, "
Diverticulitis,"Sitagliptin Phosphate, Esomeprazole Magnesium, Raltegravir Potassium, "
Moyamoya disease,"Ipilimumab, Darbepoetin Alfa In Polysorbat, Ursodiol, Immun Glob G(IGG) Malt Iga 50+, "
Heat exhaustion,"Divalproex Sodium, Rivaroxaban, Thyrotropin Alfa, "
Psychotic disorder,"Bortezomib, Certolizumab Pegol, Emtricitabine Tenofovir, Methylprednisolone Acetate (80 mg), Memantine HCl, "
Frostbite,"Bexarotene, Bosentan, Digoxin, Glucagon,human Recombinant, "
Atrophy of the corpus cavernosum,"Pemetrexed Disodium, Albuterol Sulfate, Sofosbuvir, Simeprevir Sodium, "
Smoking or tobacco addiction,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Etanercept, Efavirenz Emtricitab Tenofovir, Insulin Glargine,Hum.Rec.Anlog, Glatiramer Acetate, Paclitaxel Protein-Bound, "
Sprain or strain,"Hydroxychloroquine Sulfate, Ibrutinib, "
Essential tremor,"Insulin Glargine,Hum.Rec.Anlog, Ipilimumab, Capecitabine, "
Open wound of the ear,"Efavirenz Emtricitab Tenofovir, Teriparatide, "
Foreign body in the nose,"Immun Glob G(IGG) Pro Iga 0-50, Everolimus, Pegfilgrastim, Carbamazepine, Thyrotropin Alfa, Epoetin alfa, "
Idiopathic painful menstruation,"Octreotide Acetate,mi-Spheres, Aflibercept, Fulvestrant, Cetuximab, Alteplase, Daptomycin, "
Down syndrome,"Clomipramine HCL, Lenalidomide, Insulin Glargine,Hum.Rec.Anlog, Bosentan, "
Idiopathic infrequent menstruation,"Simeprevir Sodium, Cetuximab, Tiotropium Bromide, Bortezomib, Pneumococcal 13-Valent Vaccine, "
Pneumothorax,"Cetuximab, Aripiprazole, Sofosbuvir, Ibrutinib, "
De Quervain disease,"Natalizumab, Paclitaxel Protein-Bound, Octreotide Acetate, Everolimus, Emtricitabine Tenofovir, "
Fracture of the vertebra,"Sirolimus, Pregabalin, Insulin Glargine,Hum.Rec.Anlog, Teriparatide, Adalimumab, Clobetasol Propionate, "
Human immunodeficiency virus infection (HIV),"Treprostinil Sodium, Glucagon,human Recombinant, "
Mumps,"Capecitabine, Naproxen Esomeprazole Mag, Omalizumab, Thyrotropin Alfa, "
Subarachnoid hemorrhage,"Chlorpromazine HCl, Pneumococcal 13-Valent Vaccine, "
Acute fatty liver of pregnancy (AFLP),"Fulvestrant, Hydroxychloroquine Sulfate, "
Ectropion,"Doxazosin Mesylate, Clobetasol Propionate, Paclitaxel Protein-Bound, Sofosbuvir, "
Scar,"Trastuzumab, Pegfilgrastim, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, "
Lactose intolerance,"Bevacizumab, Hydroxychloroquine Sulfate, Glucagon,human Recombinant, Denosumab, "
Eustachian tube dysfunction (ear disorder),"Enzalutamide, Hydroxychloroquine Sulfate, Erlotinib HCl, "
Appendicitis,"Bevacizumab, Everolimus, "
Graves disease,"Thyrotropin Alfa, Dimethyl Fumarate, "
Dissociative disorder,"Aflibercept, Methylprednisolone Acetate (40 mg), Trastuzumab, Ledipasvir Sofosbuvir, Prednisolone Acetate, "
Open wound of the face,"Tiotropium Bromide, Fluticasone Salmeterol, Carfilzomib, "
Dislocation of the vertebra,"Raltegravir Potassium, Darbepoetin Alfa In Polysorbat, "
Phimosis,"Paclitaxel Protein-Bound, Corticotropin, "
Hyperemesis gravidarum,"Ursodiol, Alteplase, Ipilimumab, Carfilzomib, Rivaroxaban, "
Pregnancy,"Clobetasol Propionate, Raltegravir Potassium, Abatacept Abatacept Maltose, Immun Glob G(IGG) Pro Iga 0-50, Duloxetine HCl, "
Thalassemia,"Omalizumab, Methylprednisolone Acetate (40 mg), "
Placenta previa,"Azacitidine, Carbamazepine, Cyclophosphamide, "
Epidural hemorrhage,"Lenalidomide, Econazole Nitrate, Octreotide Acetate, Darbepoetin Alfa In Polysorbat, "
Septic arthritis,"Glatiramer Acetate, Ursodiol, Simeprevir Sodium, Epoetin alfa, "
Athlete's foot,"Emtricitabine Tenofovir, Omalizumab, Doxazosin Mesylate, Abiraterone Acetate, Paliperidone Palmitate, "
Pleural effusion,"Thyrotropin Alfa, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Lenalidomide, Aripiprazole, Captopril, "
Aphakia,"Lenalidomide, Everolimus, Digoxin, Abiraterone Acetate, Bosentan, "
Vulvar disorder,"Ranibizumab, Rivaroxaban, "
Vitamin B deficiency,"Paliperidone Palmitate, Esomeprazole Magnesium, Lenalidomide, Bexarotene, Sofosbuvir, Natalizumab, "
Sialoadenitis,"Glatiramer Acetate, Octreotide Acetate,mi-Spheres, Immun Glob G (IGG) Gly Iga 50+, "
Gynecomastia,"Denosumab, Chlorpromazine HCl, Bendamustine HCl, Lenalidomide, Captopril, Rituximab, "
Histoplasmosis,"Infliximab, Epoetin Alfa, Natalizumab, Azacitidine, "
Erythema multiforme,"Metformin HCl, Mitomycin, "
Scoliosis,"Fluticasone Salmeterol, Gemcitabine HCl, Aminolevulinic Acid HCl, Bosentan, "
Bunion,"Epoetin Alfa, Azacitidine, Arformoterol Tartrate, Everolimus, Trastuzumab, "
Arrhythmia,"Rituximab, Sitagliptin Phosphate, Glucagon,human Recombinant, "
Paget disease,"Cyanocobalamin (Vitamin B-12), Pneumococcal 13-Valent Vaccine, Clomipramine HCL, Dimethyl Fumarate, Infliximab, "
Trigeminal neuralgia,"Albuterol Sulfate, Omalizumab, Memantine HCl, Glatiramer Acetate, Metformin HCl, "
Ankylosing spondylitis,"Tiotropium Bromide, Rivaroxaban, Cyanocobalamin (Vitamin B-12), Bortezomib, "
Peripheral nerve disorder,"Esomeprazole Magnesium, Thyrotropin Alfa, "
Sebaceous cyst,"Captopril, Chlorpromazine HCl, Hydroxychloroquine Sulfate, Immun Glob G (IGG) Gly Iga 50+, Imatinib Mesylate, Octreotide Acetate,mi-Spheres, "
Poisoning due to antipsychotics,"Denosumab, Bosentan, "
Behcet disease,"Rivaroxaban, Captopril, "
Neurosis,"Epoetin Alfa, Duloxetine HCl, Aminolevulinic Acid HCl, Rivaroxaban, "
Prostate cancer,"Aflibercept, Esomeprazole Magnesium, Ursodiol, "
Cerebral edema,"Diclofenac Sodium, Glucagon,human Recombinant, Ambrisentan, Imatinib Mesylate, Captopril, "
Dislocation of the finger,"Etanercept, Rivaroxaban, "
Birth trauma,"Bupropion HCl, Fulvestrant, Cyanocobalamin (Vitamin B-12), "
Chronic pancreatitis,"Pemetrexed Disodium, Adalimumab, Clobetasol Propionate, Econazole Nitrate, "
Hematoma,"Captopril, Rituximab, Everolimus, "
Carcinoid syndrome,"Immun Glob G(IGG) Malt Iga 50+, Fulvestrant, Treprostinil Sodium, "
Seborrheic keratosis,"Bendamustine HCl, Capecitabine, Tiotropium Bromide, Adalimumab, "
Burn,"Epoetin Alfa, Raltegravir Potassium, Azacitidine, Corticotropin, Gemcitabine HCl, "
Spontaneous abortion,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Duloxetine HCl, Darbepoetin Alfa In Polysorbat, Immun Glob G(IGG) Malt Iga 50+, "
Genital herpes,"Darbepoetin Alfa In Polysorbat, Glucagon,human Recombinant, Arformoterol Tartrate, Trastuzumab, Everolimus, Imatinib Mesylate, "
Adjustment reaction,"Thyrotropin Alfa, Ledipasvir Sofosbuvir, Bendamustine HCl, Bupropion HCl, Glatiramer Acetate, Formoterol Fumarate, "
Gallstone,"Pegfilgrastim, Epoetin Alfa, "
Multiple sclerosis,"Epoetin Alfa, Emtricitabine Tenofovir, Bendamustine HCl, Ranibizumab, Metformin HCl, Dimethyl Fumarate, "
Zenker diverticulum,"Divalproex Sodium, Bupropion HCl, Fluticasone Salmeterol, Glatiramer Acetate, Bexarotene, Epoetin Alfa, "
Fracture of the pelvis,"Digoxin, Paliperidone Palmitate, Chlorpromazine HCl, "
Pneumoconiosis,"Etanercept, Dimethyl Fumarate, Bortezomib, "
Hyperlipidemia,"Efavirenz Emtricitab Tenofovir, Clomipramine HCL, "
Ulcerative colitis,"Diclofenac Sodium, Teriparatide, Tiotropium Bromide, Ipilimumab, Carbamazepine, Ibrutinib, "
Male genitalia infection,"Pemetrexed Disodium, Immun Glob G(IGG) Pro Iga 0-50, Etanercept, "
HPV,"Fulvestrant, Rituximab, Etanercept, Clobetasol Propionate, Cyanocobalamin (Vitamin B-12), "
Angina,"Chlorpromazine HCl, Pegfilgrastim, Imatinib Mesylate, Octreotide Acetate, Cyanocobalamin (Vitamin B-12), Everolimus, "
Injury to the spinal cord,"Clobetasol Propionate, Memantine HCl, Aflibercept, Albuterol Sulfate, "
Nasal polyp,"Pregabalin, Epoetin Alfa, Paliperidone Palmitate, Denosumab, Alteplase, Doxazosin Mesylate, "
Lichen simplex,"Pregabalin, Sitagliptin Phosphate, Teriparatide, Doxazosin Mesylate, "
Trichiasis,"Capecitabine, Formoterol Fumarate, Rituximab, Sirolimus, "
Acariasis,"Corticotropin, Azacitidine, Methylprednisolone Acetate (40 mg), Bosentan, Teriparatide, "
Colorectal cancer,"Epoetin Alfa, Epoetin alfa, Efavirenz Emtricitab Tenofovir, Capecitabine, Azacitidine, Naproxen Esomeprazole Mag, "
Skin pigmentation disorder,"Ibrutinib, Pregabalin, Metformin HCl, Mitomycin, "
Factitious disorder,"Abatacept Abatacept Maltose, Epoetin Alfa, Fluticasone Salmeterol, "
Lymphogranuloma venereum,"Omalizumab, Aripiprazole, Carfilzomib, Chlorpromazine HCl, Epoetin Alfa, "
Galactorrhea of unknown cause,"Octreotide Acetate, Bosentan, "
G6PD enzyme deficiency,"Prednisolone Acetate, Raltegravir Potassium, Glatiramer Acetate, Bevacizumab, Teriparatide, "
Nerve impingement near the shoulder,"Carbamazepine, Daptomycin, "
Toxoplasmosis,"Etanercept, Prednisolone Acetate, "
Fibroadenoma,"Cetuximab, Everolimus, Fluticasone Salmeterol, Divalproex Sodium, "
Open wound of the hand,"Octreotide Acetate,mi-Spheres, Rituximab, Natalizumab, Chlorpromazine HCl, Prednisolone Acetate, "
Missed abortion,"Pemetrexed Disodium, Alteplase, Darunavir Ethanolate, Epoetin alfa, "
Diabetic ketoacidosis,"Bexarotene, Adalimumab, Captopril, Denosumab, "
Granuloma inguinale,"Immun Glob G (IGG) Gly Iga 50+, Bupropion HCl, Alteplase, Denosumab, "
Hemorrhagic fever,"Bendamustine HCl, Metformin HCl, Glucagon,human Recombinant, Diclofenac Sodium, "
Obsessive compulsive disorder (OCD),"Erlotinib HCl, Capecitabine, Tiotropium Bromide, "
Injury of the ankle,"Bevacizumab, Glucagon,human Recombinant, Hydroxychloroquine Sulfate, Propranolol HCl, "
Hyponatremia,"Natalizumab, Mitomycin, Abatacept Abatacept Maltose, "
Stricture of the esophagus,"Immun Glob G(IGG) Malt Iga 50+, Clomipramine HCL, Abatacept Abatacept Maltose, Enalapril Maleate, Cyanocobalamin (Vitamin B-12), "
Fracture of the ankle,"Ledipasvir Sofosbuvir, Abatacept Abatacept Maltose, Immun Glob G (IGG) Gly Iga 50+, Darunavir Ethanolate, Albuterol Sulfate, "
Soft tissue sarcoma,"Immun Glob G (IGG) Gly Iga 50+, Glucagon,human Recombinant, Ipilimumab, Aripiprazole, Methylprednisolone Acetate (40 mg), "
Bone disorder,"Imatinib Mesylate, Carbamazepine, Epoetin alfa, Gemcitabine HCl, "
Epilepsy,"Glatiramer Acetate, Certolizumab Pegol, "
Personality disorder,"Imatinib Mesylate, Natalizumab, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Propranolol HCl, Epoetin alfa, "
Shingles (herpes zoster),"Fulvestrant, Immun Glob G(IGG) Pro Iga 0-50, Bevacizumab, Arformoterol Tartrate, "
Tourette syndrome,"Alteplase, Bortezomib, Azacitidine, "
Avascular necrosis,"Aflibercept, Glatiramer Acetate, Ursodiol, "
Strep throat,"Pneumococcal 13-Valent Vaccine, Bosentan, Cetuximab, "
Spinocerebellar ataxia,"Ledipasvir Sofosbuvir, Sitagliptin Phosphate, Aflibercept, Tiotropium Bromide, Ursodiol, Carbamazepine, "
Osteomyelitis,"Enalapril Maleate, Sofosbuvir, "
Sjogren syndrome,"Aminolevulinic Acid HCl, Methylprednisolone Acetate (40 mg), "
Adhesive capsulitis of the shoulder,"Divalproex Sodium, Tiotropium Bromide, Bupropion HCl, "
Viral hepatitis,"Imatinib Mesylate, Treprostinil Sodium, Rosuvastatin Calcium, Enalapril Maleate, Chlorpromazine HCl, "
Tonsillar hypertrophy,"Octreotide Acetate,mi-Spheres, Aripiprazole, Fulvestrant, Capecitabine, Propranolol HCl, "
Gastritis,"Esomeprazole Magnesium, Immun Glob G(IGG) Malt Iga 50+, "
Skin cancer,"Methylprednisolone Acetate (80 mg), Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Simeprevir Sodium, Daptomycin, Darunavir Ethanolate, "
Rheumatic fever,"Thyrotropin Alfa, Arformoterol Tartrate, Pemetrexed Disodium, Immun Glob G(IGG) Malt Iga 50+, Corticotropin, Abiraterone Acetate, "
Aphthous ulcer,"Diclofenac Sodium, Efavirenz Emtricitab Tenofovir, Raltegravir Potassium, Duloxetine HCl, Pemetrexed Disodium, Octreotide Acetate, "
Tonsillitis,"Denosumab, Azacitidine, Bendamustine HCl, Memantine HCl, Etanercept, "
Intestinal cancer,"Glatiramer Acetate, Adalimumab, "
Rocky Mountain spotted fever,"Hydroxychloroquine Sulfate, Bevacizumab, Imatinib Mesylate, "
Stomach cancer,"Clobetasol Propionate, Bortezomib, Dimethyl Fumarate, "
Developmental disability,"Omalizumab, Abatacept Abatacept Maltose, "
Acute stress reaction,"Treprostinil Sodium, Digoxin, Epoetin alfa, "
Delirium,"Carbamazepine, Hydroxychloroquine Sulfate, Cetuximab, Sitagliptin Phosphate, "
Callus,"Daptomycin, Efavirenz Emtricitab Tenofovir, Fulvestrant, Clobetasol Propionate, "
Guillain Barre syndrome,"Efavirenz Emtricitab Tenofovir, Duloxetine HCl, Abiraterone Acetate, Ibrutinib, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Ledipasvir Sofosbuvir, "
Lumbago,"Omalizumab, Azacitidine, Alteplase, Dimethyl Fumarate, Albuterol Sulfate, Pegfilgrastim, "
Deviated nasal septum,"Simeprevir Sodium, Abiraterone Acetate, Methylprednisolone Acetate (80 mg), Ledipasvir Sofosbuvir, "
Hemangioma,"Glucagon,human Recombinant, Darbepoetin Alfa In Polysorbat, Enalapril Maleate, "
Patau syndrome,"Darbepoetin Alfa In Polysorbat, Formoterol Fumarate, Cyanocobalamin (Vitamin B-12), Epoetin Alfa, Everolimus, "
Peripheral arterial disease,"Hydroxychloroquine Sulfate, Thyrotropin Alfa, Denosumab, "
Chronic back pain,"Sirolimus, Digoxin, Methylprednisolone Acetate (40 mg), Sofosbuvir, "
Heart failure,"Albuterol Sulfate, Epoetin alfa, Lenalidomide, "
Conjunctivitis,"Ibrutinib, Pemetrexed Disodium, Natalizumab, Bupropion HCl, "
Herniated disk,"Clomipramine HCL, Cyanocobalamin (Vitamin B-12), "
Rhabdomyolysis,"Doxazosin Mesylate, Mitomycin, Alteplase, Dimethyl Fumarate, Memantine HCl, "
Breast infection (mastitis),"Everolimus, Emtricitabine Tenofovir, Certolizumab Pegol, Albuterol Sulfate, Efavirenz Emtricitab Tenofovir, "
Abdominal aortic aneurysm,"Divalproex Sodium, Carfilzomib, Hydroxychloroquine Sulfate, "
Pulmonary embolism,"Ibrutinib, Enalapril Maleate, Alteplase, Divalproex Sodium, Cyanocobalamin (Vitamin B-12), "
Conduct disorder,"Pegfilgrastim, Formoterol Fumarate, Clobetasol Propionate, "
Air embolism,"Methylprednisolone Acetate (80 mg), Bosentan, "
Mastectomy,"Azacitidine, Hydroxychloroquine Sulfate, "
Epididymitis,"Ambrisentan, Methylprednisolone Acetate (40 mg), Trastuzumab, Sofosbuvir, "
Premature rupture of amniotic membrane,"Clomipramine HCL, Hydroxychloroquine Sulfate, Darbepoetin Alfa In Polysorbat, "
Molluscum contagiosum,"Octreotide Acetate, Natalizumab, "
Necrotizing fasciitis,"Duloxetine HCl, Infliximab, "
Benign vaginal discharge (leukorrhea),"Ibrutinib, Pregabalin, Octreotide Acetate, Insulin Glargine,Hum.Rec.Anlog, Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Immun Glob G(IGG) Pro Iga 0-50, "
Bladder obstruction,"Bexarotene, Ambrisentan, "
Melanoma,"Ledipasvir Sofosbuvir, Arformoterol Tartrate, Simeprevir Sodium, Carfilzomib, "
Cervical disorder,"Formoterol Fumarate, Insulin Glargine,Hum.Rec.Anlog, Tiotropium Bromide, Ambrisentan, "
Laryngitis,"Gemcitabine HCl, Trastuzumab, Mitomycin, Bosentan, Doxazosin Mesylate, "
Dyshidrosis,"Alteplase, Darbepoetin Alfa In Polysorbat, Rituximab, "
Poisoning due to opioids,"Bendamustine HCl, Adalimumab, Glatiramer Acetate, Imatinib Mesylate, Immun Glob G (IGG) Gly Iga 50+, "
Diaper rash,"Paclitaxel Protein-Bound, Darunavir Ethanolate, "
Lichen planus,"Chlorpromazine HCl, Fluticasone Salmeterol, "
Gastroduodenal ulcer,"Pegfilgrastim, Epoetin alfa, Etanercept, "
Inguinal hernia,"Mitomycin, Rivaroxaban, Ledipasvir Sofosbuvir, Cyclophosphamide, Esomeprazole Magnesium, Simeprevir Sodium, "
Eczema,"Octreotide Acetate,mi-Spheres, Azacitidine, "
Asperger syndrome,"Rivaroxaban, Pemetrexed Disodium, Aminolevulinic Acid HCl, Octreotide Acetate,mi-Spheres, "
Mucositis,"Bevacizumab, Clomipramine HCL, "
Paronychia,"Memantine HCl, Hydroxychloroquine Sulfate, Gemcitabine HCl, "
Open wound of the jaw,"Digoxin, Alteplase, Captopril, Capecitabine, "
White blood cell disease,"Arformoterol Tartrate, Denosumab, Infliximab, Prednisolone Acetate, Divalproex Sodium, Azacitidine, "
Kaposi sarcoma,"Treprostinil Treprostinil Neb Accessories Treprostinil Nebulizer Accesor, Raltegravir Potassium, Paclitaxel Protein-Bound, Chlorpromazine HCl, Thyrotropin Alfa, "
Spondylolisthesis,"Epoetin alfa, Ipilimumab, Aripiprazole, Glatiramer Acetate, Bevacizumab, "
Pseudotumor cerebri,"Aripiprazole, Imatinib Mesylate, Ursodiol, "
Conjunctivitis due to virus,"Doxazosin Mesylate, Bendamustine HCl, Carfilzomib, Denosumab, "
Open wound of the nose,"Econazole Nitrate, Pregabalin, Certolizumab Pegol, "
Respiratory Syncytial Virus Infections,"Darunavir Ethanolate, Immun Glob G(IGG) Malt Iga 50+, Capecitabine, Bortezomib, Bexarotene, Econazole Nitrate, "
Orthomyxoviridae Infections,"Arformoterol Tartrate, Epoetin Alfa, "
HIV Infections,"Immun Glob G(IGG) Pro Iga 0-50, Carbamazepine, "
Acquired Immunodeficiency Syndrome,"Ibrutinib, Emtricitabine Tenofovir, Enalapril Maleate, Propranolol HCl, "
Breast Neoplasms,"Captopril, Abiraterone Acetate, Epoetin Alfa, Trastuzumab, Fulvestrant, Azacitidine, "
Colonic Neoplasms,"Adalimumab, Simeprevir Sodium, Rivaroxaban, "
Mammary Neoplasms Animal,"Mitomycin, Treprostinil Sodium, Enzalutamide, Imatinib Mesylate, "
Skin Neoplasms,"Insulin Glargine,Hum.Rec.Anlog, Doxazosin Mesylate, "
Neoplasms Experimental,"Darbepoetin Alfa In Polysorbat, Darunavir Ethanolate, Enzalutamide, Insulin Glargine,Hum.Rec.Anlog, Pemetrexed Disodium, Chlorpromazine HCl, "
Cell Transformation Neoplastic,"Tiotropium Bromide, Memantine HCl, Diclofenac Sodium, Albuterol Sulfate, "
Neoplastic Syndromes Hereditary,"Aminolevulinic Acid HCl, Abiraterone Acetate, "
Li-Fraumeni Syndrome,"Aripiprazole, Arformoterol Tartrate, Lenalidomide, Octreotide Acetate,mi-Spheres, Diclofenac Sodium, "
Bone Diseases,"Rosuvastatin Calcium, Econazole Nitrate, Denosumab, Treprostinil Sodium, Certolizumab Pegol, "
Bone Diseases Developmental,"Treprostinil Sodium, Alteplase, Rosuvastatin Calcium, Naproxen Esomeprazole Mag, "
Cockayne Syndrome,"Teriparatide, Azacitidine, "
Bone Diseases Metabolic,"Fulvestrant, Epoetin alfa, Digoxin, Azacitidine, "
Spinal Diseases,"Adalimumab, Abatacept Abatacept Maltose, Bexarotene, Bevacizumab, "
Jaw Edentulous,"Infliximab, Clomipramine HCL, Epoetin Alfa, Darbepoetin Alfa In Polysorbat, "
Joint Diseases,"Sirolimus, Octreotide Acetate, Glatiramer Acetate, Econazole Nitrate, Ledipasvir Sofosbuvir, Arformoterol Tartrate, "
Arthritis Rheumatoid,"Enzalutamide, Trastuzumab, Fulvestrant, "
MELAS Syndrome,"Bevacizumab, Esomeprazole Magnesium, Digoxin, Aflibercept, Efavirenz Emtricitab Tenofovir, "
Ophthalmoplegia Chronic Progressive External,"Efavirenz Emtricitab Tenofovir, Bosentan, Denosumab, Treprostinil Sodium, Enzalutamide, Ipilimumab, "
Muscular Dystrophy Emery-Dreifuss,"Pregabalin, Aripiprazole, Immun Glob G(IGG) Pro Iga 0-50, Rituximab, "
Craniofacial Abnormalities,"Paliperidone Palmitate, Carbamazepine, "
Microcephaly,"Propranolol HCl, Fluticasone Salmeterol, Bendamustine HCl, Albuterol Sulfate, Rivaroxaban, Emtricitabine Tenofovir, "
Colitis,"Trastuzumab, Capecitabine, Octreotide Acetate,mi-Spheres, Tiotropium Bromide, "
Ileitis,"Rosuvastatin Calcium, Methylprednisolone Acetate (40 mg), "
Malabsorption Syndromes,"Bendamustine HCl, Abiraterone Acetate, Aflibercept, Bupropion HCl, "
Fatty Liver,"Enalapril Maleate, Pneumococcal 13-Valent Vaccine, Erlotinib HCl, Methylprednisolone Acetate (80 mg), Immun Glob G(IGG) Malt Iga 50+, "
Liver Cirrhosis,"Bortezomib, Etanercept, Pregabalin, Corticotropin, "
Pancreatitis Chronic,"Insulin Glargine,Hum.Rec.Anlog, Infliximab, Cetuximab, "
Facial Paralysis,"Natalizumab, Aflibercept, "
Tooth Loss,"Teriparatide, Captopril, "
Tooth Attrition,"Imatinib Mesylate, Rivaroxaban, Enalapril Maleate, "
Lung Diseases,"Diclofenac Sodium, Prednisolone Acetate, "
Wolfram Syndrome,"Etanercept, Aflibercept, Ranibizumab, Hydroxychloroquine Sulfate, Bupropion HCl, Abatacept Abatacept Maltose, "
Hearing Loss Sensorineural,"Certolizumab Pegol, Sipuleucel-T Lactated Ringers, Digoxin, Clomipramine HCL, Doxazosin Mesylate, "
Brain Diseases,"Captopril, Econazole Nitrate, Infliximab, "
Huntington Disease,"Enalapril Maleate, Alteplase, Lenalidomide, "
Cerebral Palsy,"Everolimus, Enalapril Maleate, Aflibercept, Formoterol Fumarate, Pregabalin, "
Ataxia Telangiectasia,"Prednisolone Acetate, Epoetin alfa, Ursodiol, Bortezomib, Raltegravir Potassium, Darunavir Ethanolate, "
Cerebrovascular Disorders,"Raltegravir Potassium, Gemcitabine HCl, Etanercept, "
Alzheimer Disease,"Sipuleucel-T Lactated Ringers, Ursodiol, Sofosbuvir, Enzalutamide, Ranibizumab, "
Essential Tremor,"Ledipasvir Sofosbuvir, Ibrutinib, "
