disease,symptoms
Thalamic Diseases,Asthenia Fever Birth Weight Dyskinesias Ataxia Cerebellar Ataxia Gait Ataxia Athetosis Catalepsy Chorea Dystonia Torticollis Hyperkinesis Hypokinesia Myoclonus Psychomotor Agitation Tremor Gait Disorders Neurologic Apraxias Language Disorders Agraphia Anomia Dyslexia Dyslexia Acquired Language Development Disorders Speech Disorders Aphasia Aphasia Broca Aphasia Wernicke Dysarthria Stuttering Learning Disorders Confusion Consciousness Disorders Unconsciousness Coma Memory Disorders Amnesia Amnesia Anterograde Amnesia Retrograde Korsakoff Syndrome Mental Retardation Perceptual Disorders Agnosia Gerstmann Syndrome Auditory Perceptual Disorders Hallucinations Psychomotor Disorders Apraxia Ideomotor Muscle Spasticity Muscle Weakness Spasm Pain Facial Pain Headache Pain Intractable Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Paresis Pupil Disorders Reflex Abnormal Reflex Babinski Seizures Sensation Disorders Hearing Disorders Hearing Loss Sensorineural Hearing Loss Central Hearing Loss Sudden Somatosensory Disorders Hyperesthesia Hypesthesia Paresthesia Taste Disorders Vision Disorders Diplopia Hemianopsia Vision Low Sleep Disorders Voice Disorders Aphonia Vomiting Anoxia Fetal Hypoxia Dyspnea Hyperventilation Purpura Thrombocytopenic 
Arachnoiditis,Asthenia Edema Eye Manifestations Neurologic Manifestations Cerebrospinal Fluid Rhinorrhea Ataxia Gait Ataxia Dystonia Hyperkinesis Tremor Gait Disorders Neurologic Speech Disorders Memory Disorders Mental Retardation Muscle Spasticity Muscle Hypotonia Muscular Atrophy Pain Back Pain Low Back Pain Facial Pain Headache Neck Pain Sciatica Pain Intractable Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Brown-Sequard Syndrome Quadriplegia Paraparesis Paraparesis Spastic Reflex Abnormal Seizures Dizziness Hearing Disorders Deafness Hearing Loss Sensorineural Olfaction Disorders Hypesthesia Paresthesia Vision Disorders Blindness Color Vision Defects Hemianopsia Scotoma Vertigo Chest Pain Pain Postoperative Waterhouse-Friderichsen Syndrome Urinary Incontinence 
Movement Disorders,Asthenia Fever Hypothermia Body Weight Birth Weight Weight Gain Weight Loss Emaciation Obesity Cyanosis Edema Eye Manifestations Fatigue Mental Fatigue Fetal Distress Intermittent Claudication Mobility Limitation Neurologic Manifestations Cerebrospinal Fluid Otorrhea Cerebrospinal Fluid Rhinorrhea Decerebrate State Dyskinesias Ataxia Cerebellar Ataxia Gait Ataxia Athetosis Catalepsy Chorea Dystonia Torticollis Hyperkinesis Hypokinesia Myoclonus Psychomotor Agitation Akathisia Drug-Induced Synkinesis Tics Tremor Gait Disorders Neurologic Gait Apraxia Apraxias Alien Hand Syndrome Catatonia Communication Disorders Language Disorders Agraphia Anomia Dyslexia Language Development Disorders Speech Disorders Aphasia Aphasia Broca Articulation Disorders Dysarthria Mutism Stuttering Learning Disorders Confusion Delirium Consciousness Disorders Unconsciousness Coma Persistent Vegetative State Syncope Memory Disorders Amnesia Amnesia Retrograde Korsakoff Syndrome Mental Retardation Perceptual Disorders Agnosia Hallucinations Illusions Phantom Limb Psychomotor Disorders Apraxia Ideomotor Fasciculation Muscle Cramp Muscle Hypertonia Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Myotonia Spasm Hemifacial Spasm Trismus Tetany Pain Back Pain Low Back Pain Facial Pain Headache Neck Pain Neuralgia Sciatica Pain Intractable Paralysis Facial Paralysis Gastroparesis Hemiplegia Ophthalmoplegia Supranuclear Palsy Progressive Paraplegia Brown-Sequard Syndrome Quadriplegia Respiratory Paralysis Vocal Cord Paralysis Paresis Paraparesis Paraparesis Spastic Psychophysiologic Disorders Reflex Abnormal Reflex Babinski Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Tinnitus Olfaction Disorders Somatosensory Disorders Hyperesthesia Hypesthesia Paresthesia Taste Disorders Vision Disorders Amblyopia Blindness Color Vision Defects Diplopia Hemianopsia Scotoma Sleep Disorders Sleep Deprivation Urinary Bladder Neurogenic Vertigo Voice Disorders Hoarseness Oral Manifestations Arthralgia Shoulder Pain Angina Pectoris Glossalgia Pain Postoperative Pelvic Pain Dysmenorrhea Constipation Diarrhea Gagging Heartburn Nausea Vomiting Hyperemesis Gravidarum Anoxia Apnea Cough Dyspnea Hypercapnia Hyperventilation Respiratory Sounds Pruritus Purpura Hypercalciuria Urinary Bladder Overactive Urinary Incontinence 
Akathisia Drug-Induced,Asthenia Fever Hypothermia Weight Gain Dyskinesias Ataxia Catalepsy Chorea Dystonia Hyperkinesis Hypokinesia Myoclonus Psychomotor Agitation Akathisia Drug-Induced Tremor Confusion Delirium Mental Retardation Agnosia Hallucinations Phantom Limb Muscle Rigidity Pain Facial Pain Headache Neuralgia Pain Intractable Facial Paralysis Paraplegia Seizures Sensation Disorders Dizziness Sleep Disorders Vertigo Abdominal Pain Pain Postoperative Diarrhea Nausea Postoperative Nausea and Vomiting Vomiting Hyperemesis Gravidarum Dyspnea Hyperventilation 
Spinal Cord Diseases,Asthenia Fever Fever of Unknown Origin Body Weight Weight Loss Overweight Obesity Obesity Morbid Cyanosis Edema Eye Manifestations Hypergammaglobulinemia Intermittent Claudication Neurologic Manifestations Cerebrospinal Fluid Otorrhea Cerebrospinal Fluid Rhinorrhea Decerebrate State Dyskinesias Ataxia Cerebellar Ataxia Gait Ataxia Athetosis Catalepsy Chorea Dystonia Torticollis Myoclonus Tics Tremor Gait Disorders Neurologic Meningism Speech Disorders Aphasia Dysarthria Confusion Delirium Consciousness Disorders Unconsciousness Coma Memory Disorders Amnesia Mental Retardation Perceptual Disorders Agnosia Psychomotor Disorders Fasciculation Muscle Cramp Muscle Hypertonia Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Myotonia Spasm Pain Back Pain Low Back Pain Headache Neck Pain Neuralgia Sciatica Pain Intractable Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Brown-Sequard Syndrome Quadriplegia Respiratory Paralysis Vocal Cord Paralysis Paresis Paraparesis Paraparesis Spastic Psychophysiologic Disorders Horner Syndrome Reflex Abnormal Reflex Babinski Seizures Sensation Disorders Dizziness Hearing Disorders Deafness Hearing Loss Sensorineural Olfaction Disorders Somatosensory Disorders Hyperalgesia Hyperesthesia Hypesthesia Paresthesia Vision Disorders Amblyopia Blindness Color Vision Defects Diplopia Photophobia Urinary Bladder Neurogenic Vertigo Abdominal Pain Abdomen Acute Arthralgia Chest Pain Angina Pectoris Pain Postoperative Pelvic Pain Anorexia Constipation Diarrhea Dyspepsia Hyperphagia Nausea Vomiting Anoxia Cough Dyspnea Hypercapnia Hypoventilation Skin Manifestations Pruritus Purpura Proteinuria Urinary Bladder Overactive Urinary Incontinence Urinary Incontinence Stress 
Amyotrophic Lateral Sclerosis,Asthenia Body Weight Weight Gain Weight Loss Emaciation Cachexia Cyanosis Edema Eye Manifestations Fatigue Hypergammaglobulinemia Mobility Limitation Neurologic Manifestations Dyskinesias Ataxia Cerebellar Ataxia Gait Ataxia Athetosis Chorea Torticollis Hyperkinesis Hypokinesia Myoclonus Tremor Gait Disorders Neurologic Apraxias Communication Disorders Language Disorders Agraphia Dyslexia Acquired Speech Disorders Aphasia Aphasia Broca Aphasia Wernicke Articulation Disorders Dysarthria Unconsciousness Coma Memory Disorders Amnesia Mental Retardation Perceptual Disorders Agnosia Prosopagnosia Auditory Perceptual Disorders Hallucinations Psychomotor Disorders Apraxia Ideomotor Fasciculation Muscle Cramp Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Myokymia Spasm Trismus Pain Headache Pain Intractable Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Supranuclear Palsy Progressive Paraplegia Pseudobulbar Palsy Quadriplegia Respiratory Paralysis Vocal Cord Paralysis Paresis Paraparesis Spastic Reflex Abnormal Reflex Babinski Seizures Sensation Disorders Dizziness Deafness Hearing Loss Sensorineural Olfaction Disorders Hypesthesia Paresthesia Taste Disorders Diplopia Sleep Disorders Urinary Bladder Neurogenic Vertigo Voice Disorders Aphonia Hoarseness Oral Manifestations Abdominal Pain Chest Pain Acute Coronary Syndrome Constipation Diarrhea Nausea Vomiting Anoxia Apnea Cough Dyspnea Hemoptysis Hypercapnia Hypoventilation Mouth Breathing Respiratory Aspiration Respiratory Sounds Skin Manifestations Pruritus Albuminuria Urinary Incontinence 
Spinal Cord Compression,Asthenia Fever Fever of Unknown Origin Hypothermia Body Weight Obesity Cardiac Output Low Edema Fatigue Intermittent Claudication Mobility Limitation Neurologic Manifestations Cerebrospinal Fluid Rhinorrhea Decerebrate State Dyskinesias Ataxia Cerebellar Ataxia Gait Ataxia Athetosis Chorea Dystonia Torticollis Myoclonus Tremor Gait Disorders Neurologic Gait Apraxia Meningism Coma Syncope Syncope Vasovagal Mental Retardation Agnosia Illusions Psychomotor Disorders Apraxia Ideomotor Muscle Cramp Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Myokymia Spasm Tetany Pain Back Pain Low Back Pain Headache Neck Pain Neuralgia Sciatica Pain Intractable Paralysis Hemiplegia Ophthalmoplegia Paraplegia Brown-Sequard Syndrome Quadriplegia Respiratory Paralysis Vocal Cord Paralysis Paresis Paraparesis Paraparesis Spastic Horner Syndrome Reflex Abnormal Reflex Babinski Seizures Sensation Disorders Dizziness Deafness Hearing Loss Bilateral Hearing Loss Sensorineural Somatosensory Disorders Hyperalgesia Hypesthesia Paresthesia Amblyopia Diplopia Sleep Disorders Urinary Bladder Neurogenic Vertigo Voice Disorders Abdominal Pain Shoulder Pain Chest Pain Pain Postoperative Constipation Diarrhea Encopresis Nausea Vomiting Anoxia Apnea Dyspnea Hyperventilation Cafe-au-Lait Spots Pruritus Purpura Thrombocytopenic Idiopathic Hemoglobinuria Urinary Incontinence 
Syringomyelia,Asthenia Hypothermia Birth Weight Cyanosis Edema Neurologic Manifestations Cerebrospinal Fluid Otorrhea Cerebrospinal Fluid Rhinorrhea Decerebrate State Ataxia Cerebellar Ataxia Athetosis Chorea Dystonia Torticollis Hyperkinesis Myoclonus Tremor Gait Disorders Neurologic Language Development Disorders Speech Disorders Dysarthria Confusion Unconsciousness Coma Syncope Lethargy Mental Retardation Perceptual Disorders Hallucinations Fasciculation Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Myokymia Myotonia Spasm Trismus Pain Back Pain Low Back Pain Facial Pain Headache Neck Pain Neuralgia Sciatica Pain Intractable Paralysis Hemiplegia Paraplegia Quadriplegia Respiratory Paralysis Vocal Cord Paralysis Paresis Paraparesis Paraparesis Spastic Horner Syndrome Reflex Abnormal Reflex Babinski Seizures Sensation Disorders Dizziness Hearing Disorders Deafness Tinnitus Somatosensory Disorders Hyperesthesia Hypesthesia Paresthesia Blindness Diplopia Urinary Bladder Neurogenic Vertigo Abdominal Pain Abdomen Acute Shoulder Pain Chest Pain Pain Postoperative Anorexia Constipation Encopresis Hiccup Vomiting Anoxia Apnea Cough Dyspnea Hypercapnia Hypoventilation Skin Manifestations Pruritus Proteinuria Urinary Incontinence 
Cranial Nerve Diseases,Asthenia Fever Fever of Unknown Origin Edema Hypergammaglobulinemia Cerebrospinal Fluid Otorrhea Ataxia Cerebellar Ataxia Chorea Dystonia Torticollis Myoclonus Synkinesis Tremor Gait Disorders Neurologic Apraxias Language Development Disorders Speech Disorders Aphasia Articulation Disorders Dysarthria Mutism Confusion Unconsciousness Syncope Memory Disorders Mental Retardation Auditory Perceptual Disorders Hallucinations Psychomotor Disorders Fasciculation Muscle Spasticity Muscle Weakness Muscular Atrophy Myokymia Myotonia Spasm Hemifacial Spasm Trismus Pain Back Pain Facial Pain Headache Neuralgia Pain Referred Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Ophthalmoplegia Chronic Progressive External Paraplegia Pseudobulbar Palsy Quadriplegia Vocal Cord Paralysis Paresis Pupil Disorders Anisocoria Horner Syndrome Tonic Pupil Reflex Abnormal Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Sensorineural Hearing Loss Central Hearing Loss Sudden Tinnitus Olfaction Disorders Somatosensory Disorders Hyperalgesia Hyperesthesia Hypesthesia Paresthesia Taste Disorders Ageusia Vision Disorders Blindness Diplopia Hemianopsia Urinary Bladder Neurogenic Vertigo Voice Disorders Dysphonia Hoarseness Abdominal Pain Earache Toothache Glossalgia Pain Postoperative Diarrhea Gagging Nausea Vomiting Apnea Cough Dyspnea Urinary Incontinence 
Strabismus,Asthenia Fever Body Weight Birth Weight Obesity Eye Manifestations Fatigue Neurologic Manifestations Ataxia Cerebellar Ataxia Athetosis Dystonia Torticollis Myoclonus Apraxias Language Disorders Agraphia Dyslexia Language Development Disorders Speech Disorders Stuttering Learning Disorders Memory Disorders Mental Retardation Perceptual Disorders Agnosia Hallucinations Illusions Psychomotor Disorders Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Myotonia Spasm Low Back Pain Headache Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Ophthalmoplegia Chronic Progressive External Supranuclear Palsy Progressive Paresis Psychophysiologic Disorders Pupil Disorders Anisocoria Reflex Abnormal Seizures Sensation Disorders Hearing Disorders Deafness Hypesthesia Vision Disorders Amblyopia Blindness Blindness Cortical Color Vision Defects Diplopia Hemianopsia Photophobia Scotoma Sleep Disorders Oral Manifestations Pseudophakia Diarrhea Postoperative Nausea and Vomiting Vomiting Anoxia Hypoventilation Ecchymosis 
Trigeminal Neuralgia,Asthenia Body Weight Weight Gain Weight Loss Cyanosis Eye Manifestations Fatigue Hypergammaglobulinemia Cerebrospinal Fluid Rhinorrhea Ataxia Cerebellar Ataxia Torticollis Tics Tremor Speech Disorders Syncope Perceptual Disorders Hallucinations Phantom Limb Muscle Cramp Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Spasm Hemifacial Spasm Trismus Tetany Pain Back Pain Low Back Pain Facial Pain Headache Neck Pain Neuralgia Neuralgia Postherpetic Sciatica Pain Intractable Pain Referred Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Paraplegia Psychophysiologic Disorders Miosis Horner Syndrome Reflex Abnormal Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Sensorineural Tinnitus Somatosensory Disorders Hyperalgesia Hyperesthesia Hypesthesia Paresthesia Dysgeusia Vision Disorders Blindness Diplopia Sleep Disorders Vertigo Voice Disorders Arthralgia Angina Pectoris Toothache Glossalgia Pain Postoperative Dysmenorrhea Nausea Vomiting Anoxia Apnea Cough Hyperventilation Hypoventilation Skin Manifestations Jaundice Pruritus 
Demyelinating Diseases,Asthenia Fever Fever of Unknown Origin Hypothermia Body Weight Weight Gain Cachexia Obesity Edema Eye Manifestations Hypergammaglobulinemia Neurologic Manifestations Cerebrospinal Fluid Rhinorrhea Dyskinesias Ataxia Cerebellar Ataxia Gait Ataxia Athetosis Catalepsy Chorea Dystonia Myoclonus Tremor Gait Disorders Neurologic Gait Apraxia Meningism Apraxias Catatonia Language Disorders Agraphia Anomia Dyslexia Acquired Speech Disorders Aphasia Aphasia Wernicke Dysarthria Mutism Learning Disorders Confusion Consciousness Disorders Unconsciousness Coma Persistent Vegetative State Syncope Memory Disorders Amnesia Mental Retardation Perceptual Disorders Hallucinations Psychomotor Disorders Fasciculation Muscle Cramp Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Spasm Hemifacial Spasm Trismus Pain Back Pain Low Back Pain Headache Neck Pain Neuralgia Paralysis Facial Paralysis Gastroparesis Hemiplegia Ophthalmoplegia Supranuclear Palsy Progressive Paraplegia Brown-Sequard Syndrome Pseudobulbar Palsy Quadriplegia Respiratory Paralysis Vocal Cord Paralysis Paresis Paraparesis Spastic Pupil Disorders Horner Syndrome Reflex Abnormal Reflex Babinski Seizures Sensation Disorders Dizziness Hearing Disorders Deafness Hearing Loss Bilateral Hearing Loss Sensorineural Hearing Loss Central Hearing Loss Sudden Tinnitus Somatosensory Disorders Hyperalgesia Hyperesthesia Hypesthesia Paresthesia Taste Disorders Vision Disorders Amblyopia Blindness Blindness Cortical Color Vision Defects Diplopia Hemianopsia Photophobia Scotoma Vision Low Sleep Disorders Urinary Bladder Neurogenic Vertigo Arthralgia Angina Pectoris Diarrhea Nausea Vomiting Hyperemesis Gravidarum Anoxia Hypercapnia Hyperventilation Purpura Purpura Thrombocytopenic Purpura Thrombocytopenic Idiopathic Proteinuria Hirsutism 
Spastic Paraplegia Hereditary,Asthenia Fever Ataxia Cerebellar Ataxia Athetosis Dystonia Tremor Gait Disorders Neurologic Language Development Disorders Aphasia Dysarthria Learning Disorders Consciousness Disorders Memory Disorders Mental Retardation Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Pain Paralysis Paraplegia Pseudobulbar Palsy Quadriplegia Paraparesis Spastic Reflex Abnormal Reflex Babinski Sensation Disorders Hearing Disorders Deafness Paresthesia Urinary Bladder Neurogenic Constipation Urinary Incontinence 
Neural Tube Defects,Asthenia Fever Fever of Unknown Origin Body Weight Birth Weight Weight Loss Fetal Weight Obesity Thinness Edema Hydrops Fetalis Intermittent Claudication Ataxia Cerebellar Ataxia Gait Disorders Neurologic Syncope Mental Retardation Psychomotor Disorders Muscle Hypertonia Muscle Spasticity Muscle Weakness Muscular Atrophy Pain Back Pain Low Back Pain Headache Neck Pain Sciatica Pain Intractable Paralysis Facial Paralysis Paraplegia Brown-Sequard Syndrome Quadriplegia Vocal Cord Paralysis Paresis Paraparesis Paraparesis Spastic Reflex Abnormal Seizures Sensation Disorders Hearing Loss Deafness Hearing Loss Sensorineural Hypesthesia Paresthesia Urinary Bladder Neurogenic Abdominal Pain Chest Pain Pain Postoperative Constipation Diarrhea Nausea Vomiting Hematemesis Anoxia Hypercapnia Hypoventilation Urinary Incontinence 
Spinal Dysraphism,Asthenia Fever Body Weight Birth Weight Weight Gain Weight Loss Obesity Cyanosis Fetal Distress Flushing Heart Murmurs Intermittent Claudication Mobility Limitation Neurologic Manifestations Dyskinesias Ataxia Cerebellar Ataxia Torticollis Myoclonus Psychomotor Agitation Gait Disorders Neurologic Gait Apraxia Language Disorders Dyslexia Language Development Disorders Speech Disorders Dysarthria Learning Disorders Memory Disorders Mental Retardation Perceptual Disorders Hallucinations Psychomotor Disorders Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Spasm Pain Back Pain Headache Neck Pain Neuralgia Sciatica Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Vocal Cord Paralysis Paresis Reflex Abnormal Seizures Sensation Disorders Deafness Somatosensory Disorders Hypesthesia Paresthesia Vision Disorders Amblyopia Blindness Urinary Bladder Neurogenic Shoulder Pain Pain Postoperative Constipation Diarrhea Encopresis Vomiting Hyperemesis Gravidarum Apnea Albuminuria Urinary Bladder Overactive Urinary Incontinence Urinary Incontinence Stress 
Amyloid Neuropathies Familial,Asthenia Ataxia Syncope Muscular Atrophy Pain Neuralgia Pain Intractable Dizziness Somatosensory Disorders Paresthesia Urinary Bladder Neurogenic Voice Disorders Constipation Diarrhea Nausea Vomiting Pruritus Dysuria Proteinuria Albuminuria Urinary Bladder Overactive Urinary Incontinence 
Ataxia,Asthenia Fever Hypothermia Body Weight Weight Gain Weight Loss Obesity Thinness Edema Eye Manifestations Fatigue Hypergammaglobulinemia Motion Sickness Neurologic Manifestations Decerebrate State Dyskinesias Ataxia Cerebellar Ataxia Gait Ataxia Athetosis Catalepsy Chorea Dystonia Torticollis Hyperkinesis Hypokinesia Myoclonus Psychomotor Agitation Akathisia Drug-Induced Tremor Gait Disorders Neurologic Apraxias Catatonia Language Disorders Agraphia Anomia Dyslexia Language Development Disorders Speech Disorders Aphasia Dysarthria Mutism Stuttering Learning Disorders Confusion Delirium Consciousness Disorders Coma Persistent Vegetative State Memory Disorders Amnesia Korsakoff Syndrome Mental Retardation Perceptual Disorders Agnosia Gerstmann Syndrome Hallucinations Psychomotor Disorders Apraxia Ideomotor Fasciculation Muscle Cramp Muscle Hypertonia Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Myokymia Spasm Pain Back Pain Low Back Pain Headache Sciatica Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Ophthalmoplegia Chronic Progressive External Paraplegia Quadriplegia Paresis Paraparesis Paraparesis Spastic Psychophysiologic Disorders Horner Syndrome Reflex Abnormal Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss High-Frequency Hearing Loss Sensorineural Hearing Loss Sudden Tinnitus Somatosensory Disorders Hyperalgesia Hyperesthesia Hypesthesia Paresthesia Ageusia Vision Disorders Amblyopia Blindness Blindness Cortical Diplopia Hemianopsia Scotoma Vision Low Urinary Bladder Neurogenic Vertigo Voice Disorders Hoarseness Chest Pain Angina Pectoris Anorexia Constipation Diarrhea Nausea Vomiting Hyperemesis Gravidarum Anoxia Apnea Dyspnea Paroxysmal Hemoptysis Hypoventilation Skin Manifestations Jaundice Purpura Schoenlein-Henoch Urinary Bladder Overactive Urinary Incontinence Urinary Incontinence Stress 
Hypokinesia,Asthenia Fever Body Weight Weight Loss Cachexia Cardiac Output Low Hydrops Fetalis Mobility Limitation Dyskinesias Ataxia Gait Ataxia Catalepsy Dystonia Torticollis Hyperkinesis Hypokinesia Akathisia Drug-Induced Tremor Gait Disorders Neurologic Gait Apraxia Catatonia Communication Disorders Speech Disorders Dysarthria Mutism Confusion Delirium Memory Disorders Mental Retardation Perceptual Disorders Agnosia Psychomotor Disorders Apraxia Ideomotor Muscle Hypertonia Muscle Rigidity Muscle Hypotonia Muscle Weakness Muscular Atrophy Sarcopenia Pain Supranuclear Palsy Progressive Paresis Pupil Disorders Reflex Abnormal Seizures Vision Disorders Abdominal Pain Constipation Anoxia Hypercapnia Hyperoxia Hypoventilation 
Myoclonus,Asthenia Fever Fever of Unknown Origin Hypothermia Body Weight Birth Weight Emaciation Cachexia Edema Eye Manifestations Eye Hemorrhage Fatigue Neurologic Manifestations Decerebrate State Dyskinesias Ataxia Cerebellar Ataxia Gait Ataxia Athetosis Chorea Dystonia Torticollis Hyperkinesis Myoclonus Psychomotor Agitation Akathisia Drug-Induced Tics Tremor Gait Disorders Neurologic Meningism Apraxias Catatonia Language Disorders Speech Disorders Aphasia Dysarthria Mutism Stuttering Confusion Delirium Consciousness Disorders Unconsciousness Coma Syncope Syncope Vasovagal Memory Disorders Amnesia Amnesia Retrograde Mental Retardation Perceptual Disorders Hallucinations Phantom Limb Psychomotor Disorders Fasciculation Muscle Cramp Muscle Hypertonia Muscle Rigidity Muscle Spasticity Muscle Hypotonia Muscle Weakness Muscular Atrophy Myokymia Myotonia Spasm Hemifacial Spasm Trismus Tetany Pain Back Pain Low Back Pain Headache Neck Pain Pain Intractable Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Supranuclear Palsy Progressive Paraplegia Quadriplegia Paresis Psychophysiologic Disorders Miosis Reflex Abnormal Reflex Babinski Seizures Sensation Disorders Dizziness Hearing Disorders Hearing Loss Deafness Hearing Loss Bilateral Hearing Loss Sensorineural Hearing Loss Noise-Induced Tinnitus Somatosensory Disorders Hyperalgesia Hypesthesia Paresthesia Vision Disorders Blindness Blindness Cortical Diplopia Photophobia Sleep Disorders Sleep Deprivation Urinary Bladder Neurogenic Vertigo Voice Disorders Abdominal Pain Shoulder Pain Chest Pain Pain Postoperative Constipation Diarrhea Dyspepsia Hiccup Nausea Vomiting Hyperemesis Gravidarum Anoxia Fetal Hypoxia Apnea Cough Dyspnea Hyperventilation Hypoventilation Respiratory Sounds Pruritus Purpura Thrombocytopenic 
Catatonia,Asthenia Fever Fever of Unknown Origin Body Weight Weight Loss Obesity Morbid Flushing Neurologic Manifestations Dyskinesias Ataxia Catalepsy Dystonia Hyperkinesis Hypokinesia Myoclonus Psychomotor Agitation Akathisia Drug-Induced Tics Tremor Catatonia Speech Disorders Echolalia Mutism Learning Disorders Confusion Delirium Consciousness Disorders Unconsciousness Coma Stupor Memory Disorders Amnesia Amnesia Retrograde Mental Retardation Hallucinations Psychomotor Disorders Muscle Rigidity Muscle Spasticity Muscle Weakness Spasm Pain Headache Paraplegia Paresis Psychophysiologic Disorders Seizures Hearing Loss Sensorineural Vision Disorders Blindness Sleep Disorders Voice Disorders Abdominal Pain Chest Pain Vomiting Anoxia Purpura Thrombotic Thrombocytopenic 
Aphasia,Asthenia Fever Fever of Unknown Origin Body Weight Birth Weight Edema Eye Manifestations Fatigue Neurologic Manifestations Ataxia Chorea Dystonia Hyperkinesis Myoclonus Psychomotor Agitation Tremor Gait Disorders Neurologic Apraxias Catatonia Communication Disorders Language Disorders Agraphia Anomia Dyslexia Dyslexia Acquired Language Development Disorders Speech Disorders Aphasia Aphasia Broca Aphasia Conduction Aphasia Primary Progressive Primary Progressive Nonfluent Aphasia Aphasia Wernicke Articulation Disorders Dysarthria Echolalia Mutism Stuttering Learning Disorders Confusion Delirium Consciousness Disorders Unconsciousness Coma Memory Disorders Amnesia Amnesia Retrograde Korsakoff Syndrome Mental Retardation Perceptual Disorders Agnosia Gerstmann Syndrome Prosopagnosia Auditory Perceptual Disorders Hallucinations Psychomotor Disorders Apraxia Ideomotor Muscle Hypertonia Muscle Spasticity Muscle Weakness Muscular Atrophy Myotonia Spasm Pain Facial Pain Headache Paralysis Facial Paralysis Hemiplegia Ophthalmoplegia Supranuclear Palsy Progressive Paraplegia Quadriplegia Paresis Psychophysiologic Disorders Horner Syndrome Reflex Abnormal Seizures Sensation Disorders Hearing Disorders Hearing Loss Deafness Hearing Loss Sensorineural Hearing Loss Central Hypesthesia Paresthesia Vision Disorders Blindness Diplopia Hemianopsia Sleep Disorders Sleep Deprivation Voice Disorders Aphonia Shoulder Pain Hyperventilation Purpura Thrombocytopenic Urinary Incontinence 
Stuttering,Asthenia Body Weight Weight Gain Weight Loss Fatigue Mobility Limitation Neurologic Manifestations Dyskinesias Ataxia Catalepsy Chorea Dystonia Torticollis Hyperkinesis Myoclonus Psychomotor Agitation Akathisia Drug-Induced Tics Tremor Apraxias Communication Disorders Language Disorders Anomia Dyslexia Dyslexia Acquired Language Development Disorders Speech Disorders Aphasia Aphasia Broca Aphasia Wernicke Articulation Disorders Dysarthria Echolalia Mutism Stuttering Learning Disorders Mental Retardation Perceptual Disorders Agnosia Auditory Perceptual Disorders Illusions Psychomotor Disorders Muscle Weakness Spasm Hemifacial Spasm Tetany Pain Intractable Facial Paralysis Hemiplegia Supranuclear Palsy Progressive Paresis Psychophysiologic Disorders Reflex Abnormal Seizures Hearing Disorders Deafness Hearing Loss Sensorineural Hearing Loss Central Sleep Disorders Voice Disorders Hoarseness Encopresis Nausea 
