Open wound of the neck,Skin lesion,Ache all over,Abnormal appearing skin,Peripheral edema,Foot or toe swelling,Skin swelling,Sweating,Skin on leg or foot looks infected,Delusions or hallucinations,Increased heart rate,Skin on arm or hand looks infected
Achalasia,Sharp chest pain,Difficulty in swallowing,Back pain,Cough,Regurgitation,Hurts to breath,Throat feels tight,Rib pain,Lump in throat,Cramps and spasms,Hoarse voice,Chest tightness
Conductive hearing loss,Diminished hearing,Ear pain,Plugged feeling in ear,Redness in ear,Ringing in ear,Dizziness,Fluid in ear,Difficulty speaking,Lack of growth,Hoarse voice,Swollen or red tonsils,Low self-esteem
Abdominal hernia,Sharp abdominal pain,Groin mass,Ache all over,Upper abdominal pain,Groin pain,Lower abdominal pain,Irregular belly button,Swollen abdomen,Regurgitation,Infant spitting up,Swelling of scrotum,Symptoms of the scrotum and testes
Cerebral palsy,Seizures,Problems with movement,Cramps and spasms,Difficulty eating,Lack of growth,Leg cramps or spasms,Back cramps or spasms,Blindness,Infant feeding problem,Swollen tongue,Lip sore,Tongue lesions
Marijuana abuse,Drug abuse,Abusing alcohol,Depressive or psychotic symptoms,Depression,Anxiety and nervousness,Hostile behavior,Delusions or hallucinations,Excessive anger,Temper problems,Fears and phobias,Low self-esteem,Difficulty speaking
Cryptococcosis,Lip swelling,Fainting,Seizures,Depressive or psychotic symptoms,Shoulder swelling,Nailbiting,Eye strain,Cross-eyed,Vulvar sore,Hip stiffness or tightness,Itchy eyelid,Wrist weakness
Obesity,Weight gain,Abnormal breathing sounds,Sleepiness,Apnea,Excessive appetite
Indigestion,Sharp abdominal pain,Burning abdominal pain,Nausea,Upper abdominal pain,Heartburn,Vomiting,Sharp chest pain,Diarrhea,Constipation,Regurgitation,Stomach bloating,Decreased appetite
Bursitis,Shoulder pain,Knee pain,Elbow pain,Arm pain,Elbow swelling,Leg pain,Hip pain,Knee swelling,Shoulder stiffness or tightness,Leg swelling,Arm stiffness or tightness,Arm swelling
Esophageal cancer,Fatigue,Ache all over,Weakness,Sharp abdominal pain,Vomiting,Shortness of breath,Difficulty in swallowing,Decreased appetite,Hoarse voice,Mouth pain,Changes in stool appearance,Stomach bloating
Pulmonary congestion,Shortness of breath,Sharp chest pain,Cough,Difficulty breathing,Nasal congestion,Fever,Chest tightness,Congestion in chest,Weakness,Fluid retention,Leg swelling,Decreased heart rate
Juvenile rheumatoid arthritis,Knee pain,Joint pain,Back pain,Ankle pain,Hand or finger pain,Hand or finger swelling,Problems with movement,Bones are painful,Wrist swelling,Ankle swelling,Pelvic pain,Knee swelling
Actinic keratosis,Abnormal appearing skin,Skin lesion,Skin dryness;peeling;scaliness;or roughness,Skin growth,Skin rash,Irregular appearing scalp,Skin moles,Skin swelling,Itching of skin,Skin irritation,Warts,Symptoms of the face
Acute otitis media,Ear pain,Fever,Cough,Nasal congestion,Redness in ear,Fluid in ear,Sore throat,Coryza,Pulling at ears,Vomiting,Diminished hearing,Plugged feeling in ear
Astigmatism,Diminished vision,Symptoms of eye,Lacrimation,Spots or clouds in vision,Eye redness,Itchiness of eye,Pain in eye,Foreign body sensation in eye,Eye deviation,Eye moves abnormally,Cross-eyed,Double vision
Tuberous sclerosis,Seizures,Cramps and spasms,Delusions or hallucinations,Symptoms of the kidneys,Shoulder pain,Depressive or psychotic symptoms,Difficulty speaking,Elbow weakness,Underweight,Excessive growth,Low back weakness,Feeling hot and cold
Empyema,Cough,Shortness of breath,Hurts to breath,Back pain,Sharp chest pain,Coryza,Skin rash,Leg pain,Skin lesion,Sharp abdominal pain,Difficulty breathing,Abnormal appearing skin
Presbyacusis,Diminished hearing,Dizziness,Ringing in ear,Ear pain,Neck stiffness or tightness,Elbow weakness,Excessive growth,Feeling hot and cold,Wrist weakness,Low back weakness,Emotional symptoms,Elbow cramps or spasms
Neonatal jaundice,Jaundice,Infant feeding problem,Irritable infant,Changes in stool appearance,Irregular belly button,Fluid in ear,Recent weight loss,Drainage in throat,Infant spitting up,Lack of growth,Irregular appearing scalp,Flatulence
Chronic obstructive pulmonary disease (COPD),Cough,Shortness of breath,Nasal congestion,Fever,Sore throat,Difficulty breathing,Sharp chest pain,Coryza,Wheezing,Coughing up sputum,Congestion in chest,Chest tightness
Dislocation of the elbow,Arm pain,Elbow pain,Arm stiffness or tightness,Depression,Wrist pain,Arm weakness,Elbow swelling,Irritable infant,Arm swelling
Spondylosis,Low back pain,Back pain,Neck pain,Leg pain,Hip pain,Shoulder pain,Arm pain,Loss of sensation,Ache all over,Knee pain,Lower body pain,Paresthesia
Herpangina,Fever,Skin rash,Sore throat,Vomiting,Mouth ulcer,Decreased appetite,Cough,Insomnia,Abnormal appearing skin,Tongue lesions,Swollen lymph nodes,Redness in ear
Injury to the shoulder,Shoulder pain,Arm pain,Neck pain,Back pain,Elbow pain,Shoulder stiffness or tightness,Lower body pain,Arm stiffness or tightness,Shoulder swelling,Bones are painful,Arm weakness,Muscle cramps;contractures;or spasms
Poisoning due to antidepressants,Depression,Disturbance of memory,Drug abuse,Headache,Sleepiness,Abusing alcohol,Allergic reaction,Weakness,Fainting,Muscle pain,Emotional symptoms,Back weakness
Infection of open wound,Abnormal appearing skin,Leg pain,Fever,Hand or finger swelling,Skin lesion,Skin on arm or hand looks infected,Leg swelling,Chills,Fluid retention,Insomnia,Decreased appetite,Skin swelling
Deep vein thrombosis (DVT),Leg pain,Leg swelling,Abnormal appearing skin,Peripheral edema,Arm swelling,Paresthesia,Foot or toe swelling,Ankle swelling,Leg stiffness or tightness,Leg cramps or spasms,Leg lump or mass,Disturbance of smell or taste
Protein deficiency,Weakness,Nausea,Vomiting,Decreased appetite,Ache all over,Fatigue,Depression,Dizziness,Shortness of breath,Sharp abdominal pain,Constipation,Smoking problems
Myoclonus,Abnormal involuntary movements,Seizures,Eye moves abnormally,Problems with movement,Fainting,Drainage in throat,Sleepiness,Arm cramps or spasms,Disturbance of memory,Insomnia,Loss of sensation,Muscle swelling
Bone spur of the calcaneous,Foot or toe pain,Ankle pain,Foot or toe swelling,Leg pain,Paresthesia,Problems with movement,Joint pain,Weight gain,Muscle pain,Elbow pain,Heartburn,Ankle swelling
Von Willebrand disease,Nosebleed,Itchy scalp,Fatigue,Long menstrual periods,Wrist pain,Blood in stool,Arm pain,Heavy menstrual flow,Burning abdominal pain,Muscle swelling,Low back weakness,Abnormal size or shape of ear
Open wound of the back,Skin lesion,Lower body pain,Weight gain,Throat feels tight,Irregular heartbeat,Lymphedema,Skin growth
Heart block,Sharp chest pain,Shortness of breath,Dizziness,Fainting,Weakness,Palpitations,Chest tightness,Peripheral edema,Decreased heart rate,Weight gain,Increased heart rate,Irregular heartbeat
Colonic polyp,Rectal bleeding,Blood in stool,Constipation,Sharp abdominal pain,Diarrhea,Upper abdominal pain,Heartburn,Pain of the anus,Regurgitation,Flatulence,Changes in stool appearance,Discharge in stools
Hypospadias,Retention of urine,Recent weight loss,Unusual color or odor to urine,Symptoms of the scrotum and testes,Skin growth,Suprapubic pain,Penis pain,Jaundice
Magnesium deficiency,Dizziness,Sharp abdominal pain,Leg pain,Sharp chest pain,Palpitations,Vomiting,Weakness,Seizures,Shortness of breath,Nausea,Diarrhea,Leg cramps or spasms
Female infertility of unknown cause,Infertility,Unpredictable menstruation,Long menstrual periods,Scanty menstrual flow,Unwanted hair,Absence of menstruation,Bleeding or discharge from nipple,Loss of sex drive,Pain during intercourse,Irregular belly button
Pericarditis,Sharp chest pain,Shortness of breath,Difficulty breathing,Chest tightness,Sharp abdominal pain,Nausea,Irregular heartbeat,Fainting,Palpitations,Lower body pain,Hurts to breath,Lymphedema
Attention deficit hyperactivity disorder (ADHD),Depressive or psychotic symptoms,Depression,Anxiety and nervousness,Hostile behavior,Excessive anger,Restlessness,Temper problems,Drug abuse,Obsessions and compulsions,Low self-esteem,Lack of growth,Antisocial behavior
Neuromyelitis optica,Painful urination,Ache all over,Arm pain,Loss of sensation,Weakness,Diminished vision,Vulvar sore,Excessive growth,Knee lump or mass,Nailbiting,Shoulder swelling,Neck cramps or spasms
Pulmonic valve disease,Lack of growth,Leg pain,Shortness of breath,Low back pain,Elbow weakness,Elbow cramps or spasms,Excessive growth,Feeling hot and cold,Wrist weakness,Low back weakness,Emotional symptoms,Nailbiting
Tietze syndrome,Sharp chest pain,Rib pain,Shortness of breath,Cough,Back pain,Chest tightness,Side pain,Nausea,Hurts to breath,Difficulty breathing,Pain or soreness of breast,Loss of sensation
Cranial nerve palsy,Double vision,Headache,Diminished vision,Abnormal involuntary movements,Symptoms of the face,Loss of sensation,Abnormal movement of eyelid,Pupils unequal,Pain in eye,Facial pain,Difficulty speaking,Cramps and spasms
Injury to the arm,Wrist pain,Elbow pain,Arm pain,Hand or finger pain,Loss of sensation,Wrist swelling,Hand or finger swelling,Joint pain,Elbow swelling,Arm swelling,Arm stiffness or tightness,Bones are painful
Conversion disorder,Seizures,Depression,Sweating,Allergic reaction,Weakness,Sore throat,Anxiety and nervousness,Abnormal involuntary movements,Fatigue,Cough,Focal weakness,Fainting
Complex regional pain syndrome,Loss of sensation,Leg pain,Foot or toe pain,Paresthesia,Back pain,Ache all over,Arm pain,Hand or finger pain,Low back pain,Neck pain,Abnormal involuntary movements,Problems with movement
Otosclerosis,Diminished hearing,Dizziness,Plugged feeling in ear,Ear pain,Elbow weakness,Nailbiting,Low back weakness,Emotional symptoms,Elbow cramps or spasms,Underweight,Wrist weakness,Muscle swelling
Injury to the trunk,Back pain,Rib pain,Sharp chest pain,Low back pain,Neck pain,Shoulder pain,Headache,Lower body pain,Bones are painful,Wrist pain,Symptoms of the scrotum and testes,Sinus congestion
Hypothyroidism,Fatigue,Weight gain,Too little hair,Muscle pain,Hot flashes,Leg cramps or spasms,Absence of menstruation,Poor circulation,Wrist swelling,Feeling cold,Thirst
Primary insomnia,Insomnia,Abnormal breathing sounds,Fatigue,Apnea,Sleepiness,Headache,Anxiety and nervousness,Sleepwalking,Seizures,Neck pain,Abnormal involuntary movements,Delusions or hallucinations
Lice,Itchy scalp,Skin rash,Cough,Itching of skin,Smoking problems,Skin lesion,Fever,Nasal congestion,Warts,Skin oiliness,Leg lump or mass,Sneezing
Fatigue,Paresthesia,Disturbance of memory,Problems with movement,Sweating,Symptoms of the face,Heartburn,Hot flashes,Leg cramps or spasms,Abnormal appearing tongue,Too little hair,Knee stiffness or tightness
Diabetes,Weight gain,Thirst,Symptoms of the kidneys
Vulvodynia,Pelvic pain,Sharp abdominal pain,Lower abdominal pain,Pain during pregnancy,Nausea,Back pain,Vaginal pain,Side pain,Vaginal discharge,Burning abdominal pain,Painful urination,Cramps and spasms
Endometriosis,Pelvic pain,Sharp abdominal pain,Lower abdominal pain,Painful menstruation,Heavy menstrual flow,Burning abdominal pain,Infertility,Intermenstrual bleeding,Hot flashes,Absence of menstruation,Vaginal pain,Chills
Vasculitis,Skin rash,Skin lesion,Headache,Leg pain,Dizziness,Lymphedema,Foot or toe swelling,Plugged feeling in ear,Skin irritation,Swollen tongue,Leg lump or mass,Leg stiffness or tightness
Concussion,Headache,Dizziness,Neck pain,Vomiting,Disturbance of memory,Nausea,Back pain,Facial pain,Sleepiness,Rib pain,Double vision,Difficulty speaking
Oral leukoplakia,Tongue lesions,Fever,Hemoptysis,Skin swelling,Gum pain,Mouth pain,Elbow cramps or spasms,Elbow weakness,Excessive growth,Underweight,Low back weakness,Wrist weakness
Chronic kidney disease,Fatigue,Shortness of breath,Symptoms of the kidneys,Peripheral edema,Feeling cold,Unusual color or odor to urine
Bladder disorder,Symptoms of bladder,Blood in urine,Frequent urination,Sharp abdominal pain,Retention of urine,Involuntary urination,Suprapubic pain,Painful urination,Bladder mass,Coryza,Pelvic pain,Lower abdominal pain
Chorioretinitis,Diminished vision,Spots or clouds in vision,Eye burns or stings,Pain in eye,Itchiness of eye,Double vision,Foreign body sensation in eye,Muscle swelling,Elbow cramps or spasms,Pus in urine,Low back weakness,Knee cramps or spasms
Priapism,Penis pain,Painful urination,Back pain,Pain during intercourse,Leg cramps or spasms,Impotence,Drug abuse,Allergic reaction,Premature ejaculation,Ache all over,Abusing alcohol,Elbow weakness
Myositis,Leg pain,Knee pain,Skin rash,Back pain,Headache,Loss of sensation,Paresthesia,Muscle pain,Hip pain,Lower body pain,Leg weakness,Problems with movement
Mononucleosis,Sore throat,Fever,Headache,Swollen lymph nodes,Fatigue,Ache all over,Ear pain,Cough,Nasal congestion,Skin rash,Feeling ill,Nausea
Neuralgia,Back pain,Leg pain,Loss of sensation,Neck pain,Low back pain,Ache all over,Arm pain,Foot or toe pain,Headache,Hip pain,Paresthesia,Shoulder pain
Polycystic kidney disease,Side pain,Blood in urine,Sharp abdominal pain,Kidney mass,Back pain,Low back pain,Painful urination,Symptoms of the kidneys,Retention of urine,Frequent urination,Suprapubic pain,Skin growth
Bipolar disorder,Depressive or psychotic symptoms,Depression,Anxiety and nervousness,Insomnia,Hostile behavior,Delusions or hallucinations,Abusing alcohol,Drug abuse,Excessive anger,Temper problems,Fears and phobias,Obsessions and compulsions
Amyloidosis,Shortness of breath,Fatigue,Anxiety and nervousness,Symptoms of the kidneys,Congestion in chest,Fever,Weakness,Abnormal appearing skin,Wrist weakness,Nailbiting,Eye strain,Feeling hot and cold
Chronic inflammatory demyelinating polyneuropathy (CIDP),Loss of sensation,Weakness,Problems with movement,Leg weakness,Leg cramps or spasms,Abnormal involuntary movements,Facial pain,Fatigue,Hand or finger weakness,Focal weakness,Dizziness,Leg pain
Gastroesophageal reflux disease (GERD),Sharp chest pain,Sharp abdominal pain,Vomiting,Heartburn,Cough,Nausea,Burning abdominal pain,Upper abdominal pain,Difficulty in swallowing,Regurgitation,Chest tightness,Hoarse voice
Vitreous hemorrhage,Diminished vision,Spots or clouds in vision,Blindness,Symptoms of eye,Pain in eye,Bleeding from eye,Lacrimation
Poisoning due to antimicrobial drugs,Skin rash,Allergic reaction,Problems with movement,Abnormal involuntary movements,Vomiting,Nausea,Posture problems,Shortness of breath,Depressive or psychotic symptoms,Paresthesia,Cough,Peripheral edema
Open wound of the mouth,Tongue lesions,Toothache,Seizures,Lip swelling,Bleeding in mouth,Tongue bleeding,Mouth pain,Peripheral edema,Neck swelling,Gum pain,Sneezing,Mouth ulcer
Scleroderma,Skin lesion,Skin rash,Skin dryness;peeling;scaliness;or roughness,Abnormal appearing skin,Itching of skin,Skin growth,Lip swelling,Skin irritation,Warts,Feeling ill,Irregular appearing scalp,Acne or pimples
Myasthenia gravis,Double vision,Weakness,Fatigue,Abnormal movement of eyelid,Dizziness,Focal weakness,Headache,Shortness of breath,Diminished vision,Slurring words,Arm weakness,Coughing up sputum
Hypoglycemia,Depressive or psychotic symptoms,Weakness,Dizziness,Fainting,Nausea,Seizures,Abnormal involuntary movements,Decreased appetite,Feeling ill,Sweating,Sleepiness,Problems with movement
Idiopathic absence of menstruation,Absence of menstruation,Sharp abdominal pain,Unpredictable menstruation,Nausea,Pelvic pain,Long menstrual periods,Vaginal discharge,Lower abdominal pain,Pain or soreness of breast,Weight gain,Vaginal itching,Heartburn
Dislocation of the ankle,Ankle pain,Ankle swelling,Foot or toe pain,Eye strain,Elbow weakness,Elbow cramps or spasms,Wrist weakness,Feeling hot and cold,Low back weakness,Underweight,Emotional symptoms,Muscle swelling
Carbon monoxide poisoning,Headache,Nausea,Dizziness,Vomiting,Diarrhea,Depressive or psychotic symptoms,Sleepiness,Frontal headache,Fainting,Low back weakness,Emotional symptoms,Elbow cramps or spasms
Panic attack,Shortness of breath,Dizziness,Sharp chest pain,Loss of sensation,Breathing fast,Anxiety and nervousness,Fainting,Chest tightness,Difficulty breathing,Irregular heartbeat,Headache,Weakness
Plantar fasciitis,Foot or toe pain,Ankle pain,Knee pain,Ankle swelling,Problems with movement,Foot or toe swelling,Lower body pain,Bones are painful,Change in skin mole size or color,Foot or toe cramps or spasms,Itchy scalp,Muscle pain
Hyperopia,Diminished vision,Symptoms of eye,Abnormal movement of eyelid,Itchiness of eye,Pain in eye,Eye deviation,Spots or clouds in vision,Eye redness,Eye moves abnormally,Blindness,Neck cramps or spasms,Difficulty speaking
Poisoning due to sedatives,Depressive or psychotic symptoms,Sleepiness,Depression,Insomnia,Abusing alcohol,Delusions or hallucinations,Drug abuse,Problems with movement,Hostile behavior,Slurring words,Excessive anger,Disturbance of memory
Pemphigus,Skin lesion,Skin rash,Abnormal appearing skin,Itching of skin,Skin irritation,Irregular appearing scalp,Arm pain,Mouth ulcer,Foot or toe pain,Peripheral edema,Mouth pain,Hand or finger pain
Peyronie disease,Impotence,Penis pain,Symptoms of prostate,Mass in scrotum,Frequent urination,Sweating,Infertility,Lower abdominal pain,Blood in urine,Warts,Bumps on penis,Emotional symptoms
Hiatal hernia,Sharp abdominal pain,Sharp chest pain,Nausea,Vomiting,Difficulty in swallowing,Burning abdominal pain,Dizziness,Heartburn,Back pain,Upper abdominal pain,Vomiting blood,Regurgitation
Extrapyramidal effect of drugs,Abnormal involuntary movements,Seizures,Anxiety and nervousness,Disturbance of memory,Nausea,Cramps and spasms,Problems with movement,Headache,Delusions or hallucinations,Restlessness,Neck stiffness or tightness,Arm stiffness or tightness
Meniere disease,Dizziness,Diminished hearing,Ringing in ear,Plugged feeling in ear,Ear pain,Nausea,Headache,Allergic reaction,Heartburn,Impotence,Facial pain,Bleeding from ear
Anal fissure,Rectal bleeding,Pain of the anus,Blood in stool,Constipation,Sharp abdominal pain,Changes in stool appearance,Lower body pain,Irregular belly button,Cramps and spasms,Vaginal dryness,Symptoms of prostate,Itchiness of eye
Allergy,Skin rash,Allergic reaction,Itching of skin,Peripheral edema,Abnormal appearing skin,Cough,Swollen eye,Lip swelling,Skin swelling,Itchiness of eye,Fluid retention,Swollen tongue
Chronic otitis media,Redness in ear,Ear pain,Nasal congestion,Cough,Diminished hearing,Fever,Fluid in ear,Plugged feeling in ear,Pulling at ears,Allergic reaction,Painful sinuses,Bleeding from ear
Fracture of the finger,Hand or finger pain,Foot or toe pain,Hand or finger swelling,Foot or toe swelling,Hand or finger stiffness or tightness
Hirschsprung disease,Constipation,Ankle pain,Vomiting,Sharp abdominal pain,Wrist weakness,Elbow weakness,Eye strain,Feeling hot and cold,Nailbiting,Low back weakness,Emotional symptoms,Underweight
Polymyalgia rheumatica,Fatigue,Shoulder pain,Leg pain,Ache all over,Sharp chest pain,Muscle pain,Hip pain,Irregular heartbeat,Leg weakness,Stiffness all over,Difficulty in swallowing,Temper problems
Lymphedema,Skin lesion,Leg swelling,Peripheral edema,Leg pain,Abnormal appearing skin,Fluid retention,Skin on leg or foot looks infected,Lymphedema,Foot or toe swelling,Skin dryness;peeling;scaliness;or roughness,Neck mass,Throat swelling
Bladder cancer,Blood in urine,Retention of urine,Symptoms of bladder,Bladder mass,Excessive urination at night,Groin mass,Kidney mass,Penis redness,Symptoms of prostate,Mass in scrotum,Penile discharge,Pain during intercourse
Acute bronchospasm,Cough,Shortness of breath,Wheezing,Fever,Difficulty breathing,Nasal congestion,Sharp chest pain,Sore throat,Coryza,Vomiting,Headache,Chest tightness
Acute glaucoma,Diminished vision,Pain in eye,Symptoms of eye,Eye redness,Spots or clouds in vision,Foreign body sensation in eye,Itchiness of eye,Blindness,Lacrimation,Double vision,Eye burns or stings
Open wound of the chest,Sharp chest pain,Drug abuse,Lip swelling
Dislocation of the patella,Knee pain,Knee swelling,Fluid retention,Problems during pregnancy,Knee stiffness or tightness
Sciatica,Back pain,Leg pain,Low back pain,Hip pain,Lower body pain,Loss of sensation,Problems with movement,Paresthesia,Leg weakness,Back cramps or spasms,Leg cramps or spasms,Unusual color or odor to urine
Hypercalcemia,Weakness,Dizziness,Loss of sensation,Feeling ill,Hand or finger weakness,Allergic reaction,Arm cramps or spasms,Focal weakness,Retention of urine,Delusions or hallucinations,Irregular appearing nails,Leg weakness
Stress incontinence,Involuntary urination,Frequent urination,Painful urination,Symptoms of bladder,Blood in urine,Retention of urine,Suprapubic pain,Hot flashes,Pelvic pain,Excessive urination at night,Weight gain,Intermenstrual bleeding
Varicose veins,Skin lesion,Leg pain,Peripheral edema,Ache all over,Lymphedema,Leg swelling,Leg cramps or spasms,Skin on leg or foot looks infected,Leg lump or mass
Benign kidney cyst,Side pain,Sharp abdominal pain,Blood in urine,Vomiting,Back pain,Low back pain,Involuntary urination,Symptoms of the kidneys,Drainage in throat,Impotence,Symptoms of prostate,Decreased appetite
Hydrocele of the testicle,Swelling of scrotum,Pain in testicles,Groin pain,Mass in scrotum,Lower abdominal pain,Retention of urine,Groin mass,Excessive urination at night,Blood in urine,Symptoms of the scrotum and testes,Skin growth,Impotence
Degenerative disc disease,Back pain,Low back pain,Leg pain,Neck pain,Hip pain,Shoulder pain,Ache all over,Loss of sensation,Arm pain,Lower body pain,Paresthesia,Joint pain
Hirsutism,Unwanted hair,Unpredictable menstruation,Acne or pimples,Fatigue,Infertility,Abnormal appearing skin,Weight gain,Warts,Skin moles,Too little hair,Heavy menstrual flow,Apnea
Dislocation of the foot,Foot or toe pain,Vomiting,Ankle pain,Knee weakness,Elbow weakness,Elbow cramps or spasms,Eye strain,Low back weakness,Wrist weakness,Underweight,Feeling hot and cold,Muscle swelling
Hydronephrosis,Side pain,Sharp abdominal pain,Back pain,Nausea,Vomiting,Blood in urine,Suprapubic pain,Symptoms of the kidneys,Lower abdominal pain,Lower body pain,Pain in testicles,Symptoms of bladder
Diverticulosis,Sharp abdominal pain,Rectal bleeding,Constipation,Diarrhea,Blood in stool,Burning abdominal pain,Nausea,Vomiting,Lower abdominal pain,Melena,Upper abdominal pain,Heartburn
Pain after an operation,Sharp abdominal pain,Back pain,Sharp chest pain,Headache,Nausea,Vomiting,Low back pain,Toothache,Leg pain,Neck pain,Side pain,Lower abdominal pain
Huntington disease,Constipation,Problems with movement,Depression,Anxiety and nervousness,Back pain,Loss of sensation,Sharp abdominal pain,Drug abuse,Symptoms of the face,Elbow weakness,Low back weakness,Excessive growth
West Nile virus,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain,Wrist pain,Pain during pregnancy,Excessive anger,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Fatigue,Excessive urination at night
Lymphoma,Fatigue,Neck mass,Regurgitation,Hoarse voice,Muscle pain,Mouth pain,Symptoms of the kidneys,Groin mass,Mouth ulcer,Stiffness all over,Shoulder lump or mass,Itchy ear(s)
Dermatitis due to sun exposure,Abnormal appearing skin,Skin lesion,Skin rash,Skin moles,Skin dryness;peeling;scaliness;or roughness,Irregular appearing scalp,Acne or pimples,Skin growth,Skin swelling,Symptoms of the face,Itchy scalp,Lack of growth
Anemia due to chronic kidney disease,Fatigue,Weakness,Shortness of breath,Peripheral edema,Ankle swelling,Recent weight loss,Polyuria,Feeling cold,Symptoms of the kidneys,Melena
Injury to internal organ,Sharp abdominal pain,Side pain,Sharp chest pain,Rib pain,Ache all over,Back pain,Blood in urine,Retention of urine,Pain of the anus,Hurts to breath,Lymphedema,Frequent urination
Scleritis,Pain in eye,Eye redness,Headache,Lacrimation,Spots or clouds in vision,Cloudy eye,Symptoms of eye,Vaginal itching,Pain during pregnancy,Abnormal appearing skin,Foreign body sensation in eye,Abnormal involuntary movements
Pterygium,Pain in eye,Symptoms of eye,Eye redness,Diminished vision,Itchiness of eye,Lacrimation,Foreign body sensation in eye,Eye burns or stings,Spots or clouds in vision,Eyelid swelling,Acne or pimples,Irregular appearing scalp
Fungal infection of the skin,Skin rash,Itching of skin,Abnormal appearing skin,Skin lesion,Irregular appearing scalp,Skin swelling,Too little hair,Skin dryness;peeling;scaliness;or roughness,Itchy scalp,Dry or flaky scalp,Acne or pimples,Irregular appearing nails
Insulin overdose,Diarrhea,Weakness,Depressive or psychotic symptoms,Wrist weakness,Underweight,Elbow weakness,Nailbiting,Emotional symptoms,Feeling hot and cold,Low back weakness,Elbow cramps or spasms,Excessive growth
Syndrome of inappropriate secretion of ADH (SIADH),Dizziness,Shoulder pain,Neck pain,Headache,Fever,Nausea,Weakness,Feeling ill,Shoulder swelling,Vulvar sore,Eye strain,Cross-eyed
Foreign body in the ear,Ear pain,Diminished hearing,Bleeding from ear,Fluid in ear,Throat feels tight,Skin irritation,Irregular appearing scalp,Throat irritation,Hysterical behavior
Premenstrual tension syndrome,Premenstrual tension or irritability,Headache,Unpredictable menstruation,Back pain,Long menstrual periods,Depressive or psychotic symptoms,Painful menstruation,Vomiting,Burning abdominal pain,Heavy menstrual flow,Lower abdominal pain,Pelvic pain
Orbital cellulitis,Swollen eye,Eye redness,Pain in eye,Fever,Symptoms of eye,Eyelid swelling,Peripheral edema,Neck swelling,Itching of skin,Diminished vision,Diminished hearing,Facial pain
Injury to the leg,Knee pain,Foot or toe pain,Ankle pain,Leg pain,Knee swelling,Foot or toe swelling,Ankle swelling,Problems with movement,Leg swelling,Knee stiffness or tightness,Irregular appearing nails,Infant feeding problem
Hepatic encephalopathy,Depressive or psychotic symptoms,Sharp abdominal pain,Shortness of breath,Peripheral edema,Fainting,Weakness,Fatigue,Drug abuse,Problems with movement,Seizures,Abusing alcohol,Fluid retention
Bone cancer,Low back pain,Ache all over,Back pain,Leg pain,Fatigue,Peripheral edema,Rib pain,Problems with movement,Joint pain,Arm lump or mass,Muscle pain,Gum pain
Leishmaniasis,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain,Wrist pain,Pain during pregnancy,Excessive anger,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Fatigue,Excessive urination at night
Chagas disease,Pain in eye,Shoulder cramps or spasms,Facial pain,Ankle pain,Wrist pain,Pain during pregnancy,Excessive anger,Joint stiffness or tightness,Pain or soreness of breast,Knee lump or mass,Fatigue,Excessive urination at night
Syringomyelia,Back pain,Shoulder pain,Headache,Neck pain,Side pain,Leg weakness,Hand or finger swelling,Fainting,Pain or soreness of breast,Foot or toe pain,Shoulder swelling,Arm stiffness or tightness
Pulmonary fibrosis,Shortness of breath,Cough,Sharp chest pain,Difficulty breathing,Fever,Fainting,Coughing up sputum,Itchiness of eye,Chest tightness,Hemoptysis,Hurts to breath,Palpitations
Mitral valve disease,Sharp chest pain,Palpitations,Shortness of breath,Fatigue,Dizziness,Chest tightness,Increased heart rate,Irregular heartbeat,Weight gain,Sweating,Drainage in throat,Nightmares
Parkinson disease,Abnormal involuntary movements,Problems with movement,Disturbance of memory,Dizziness,Weakness,Stiffness all over,Leg weakness,Focal weakness,Muscle stiffness or tightness,Difficulty speaking,Leg stiffness or tightness,Fears and phobias
Gout,Foot or toe pain,Knee pain,Foot or toe swelling,Ankle pain,Wrist pain,Hand or finger pain,Hand or finger swelling,Joint pain,Ankle swelling,Knee swelling,Leg swelling,Wrist swelling
Otitis media,Ear pain,Fever,Cough,Nasal congestion,Sore throat,Vomiting,Redness in ear,Pulling at ears,Coryza,Fluid in ear,Diminished hearing,Plugged feeling in ear
Drug abuse (opioids),Drug abuse,Depressive or psychotic symptoms,Depression,Anxiety and nervousness,Abusing alcohol,Insomnia,Delusions or hallucinations,Excessive anger,Temper problems,Antisocial behavior,Low self-esteem,Restlessness
Myelodysplastic syndrome,Fatigue,Chills,Difficulty speaking,Coughing up sputum
Fracture of the shoulder,Shoulder pain,Arm pain,Bones are painful,Arm stiffness or tightness,Shoulder swelling,Fluid retention,Shoulder stiffness or tightness,Changes in stool appearance,Mass on ear,Arm weakness,Stiffness all over,Neck swelling
Acute kidney injury,Shortness of breath,Weakness,Vomiting,Dizziness,Nausea,Sharp abdominal pain,Sharp chest pain,Kidney mass,Symptoms of the kidneys,Peripheral edema,Blood in urine,Retention of urine
