Code,Disease,symptoms
234,Chronic obstructive pulmonary disease (COPD),[{symptoms:Cough}{symptoms:83}{symptoms:Shortness of breath}{symptoms:70}{symptoms:Nasal congestion}{symptoms:54}{symptoms:Fever}{symptoms:49}{symptoms:Sore throat}{symptoms:42}{symptoms:Difficulty breathing}{symptoms:39}{symptoms:Sharp chest pain}{symptoms:39}{symptoms:Coryza}{symptoms:31}{symptoms:Wheezing}{symptoms:25}{symptoms:Coughing up sputum}{symptoms:23}{symptoms:Congestion in chest}{symptoms:22}{symptoms:Chest tightness}{symptoms:12} Chronic obstructive pulmonary disease (COPD)
235,Dislocation of the elbow,[{symptoms:Arm pain}{symptoms:77}{symptoms:Elbow pain}{symptoms:67}{symptoms:Arm stiffness or tightness}{symptoms:51}{symptoms:Depression}{symptoms:28}{symptoms:Wrist pain}{symptoms:25}{symptoms:Arm weakness}{symptoms:10}{symptoms:Elbow swelling}{symptoms:10}{symptoms:Irritable infant}{symptoms:5}{symptoms:Arm swelling}{symptoms:5} Dislocation of the elbow
236,Spondylosis,[{symptoms:Low back pain}{symptoms:77}{symptoms:Back pain}{symptoms:70}{symptoms:Neck pain}{symptoms:66}{symptoms:Leg pain}{symptoms:55}{symptoms:Hip pain}{symptoms:40}{symptoms:Shoulder pain}{symptoms:35}{symptoms:Arm pain}{symptoms:30}{symptoms:Loss of sensation}{symptoms:27}{symptoms:Ache all over}{symptoms:26}{symptoms:Knee pain}{symptoms:24}{symptoms:Lower body pain}{symptoms:17}{symptoms:Paresthesia}{symptoms:12} Spondylosis
237,Herpangina,[{symptoms:Fever}{symptoms:92}{symptoms:Skin rash}{symptoms:69}{symptoms:Sore throat}{symptoms:62}{symptoms:Vomiting}{symptoms:58}{symptoms:Mouth ulcer}{symptoms:47}{symptoms:Decreased appetite}{symptoms:40}{symptoms:Cough}{symptoms:35}{symptoms:Insomnia}{symptoms:16}{symptoms:Abnormal appearing skin}{symptoms:16}{symptoms:Tongue lesions}{symptoms:12}{symptoms:Swollen lymph nodes}{symptoms:12}{symptoms:Redness in ear}{symptoms:12} Herpangina
238,Injury to the shoulder,[{symptoms:Shoulder pain}{symptoms:94}{symptoms:Arm pain}{symptoms:50}{symptoms:Neck pain}{symptoms:39}{symptoms:Back pain}{symptoms:28}{symptoms:Elbow pain}{symptoms:9}{symptoms:Shoulder stiffness or tightness}{symptoms:8}{symptoms:Lower body pain}{symptoms:8}{symptoms:Arm stiffness or tightness}{symptoms:6}{symptoms:Shoulder swelling}{symptoms:4}{symptoms:Bones are painful}{symptoms:4}{symptoms:Arm weakness}{symptoms:2}{symptoms:Muscle cramps;contractures;or spasms}{symptoms:2} Injury to the shoulder
239,Poisoning due to antidepressants,[{symptoms:Depression}{symptoms:52}{symptoms:Disturbance of memory}{symptoms:34}{symptoms:Drug abuse}{symptoms:34}{symptoms:Headache}{symptoms:34}{symptoms:Sleepiness}{symptoms:21}{symptoms:Abusing alcohol}{symptoms:21}{symptoms:Allergic reaction}{symptoms:21}{symptoms:Weakness}{symptoms:21}{symptoms:Fainting}{symptoms:21}{symptoms:Muscle pain}{symptoms:21}{symptoms:Emotional symptoms}{symptoms:1}{symptoms:Back weakness}{symptoms:1} Poisoning due to antidepressants
240,Infection of open wound,[{symptoms:Abnormal appearing skin}{symptoms:46}{symptoms:Leg pain}{symptoms:29}{symptoms:Fever}{symptoms:29}{symptoms:Hand or finger swelling}{symptoms:22}{symptoms:Skin lesion}{symptoms:22}{symptoms:Skin on arm or hand looks infected}{symptoms:22}{symptoms:Leg swelling}{symptoms:22}{symptoms:Chills}{symptoms:22}{symptoms:Fluid retention}{symptoms:12}{symptoms:Insomnia}{symptoms:12}{symptoms:Decreased appetite}{symptoms:12}{symptoms:Skin swelling}{symptoms:12} Infection of open wound
241,Deep vein thrombosis (DVT),[{symptoms:Leg pain}{symptoms:66}{symptoms:Leg swelling}{symptoms:57}{symptoms:Abnormal appearing skin}{symptoms:15}{symptoms:Peripheral edema}{symptoms:15}{symptoms:Arm swelling}{symptoms:10}{symptoms:Paresthesia}{symptoms:10}{symptoms:Foot or toe swelling}{symptoms:8}{symptoms:Ankle swelling}{symptoms:4}{symptoms:Leg stiffness or tightness}{symptoms:4}{symptoms:Leg cramps or spasms}{symptoms:3}{symptoms:Leg lump or mass}{symptoms:3}{symptoms:Disturbance of smell or taste}{symptoms:3} Deep vein thrombosis (DVT)
242,Protein deficiency,[{symptoms:Weakness}{symptoms:52}{symptoms:Nausea}{symptoms:42}{symptoms:Vomiting}{symptoms:34}{symptoms:Decreased appetite}{symptoms:34}{symptoms:Ache all over}{symptoms:34}{symptoms:Fatigue}{symptoms:26}{symptoms:Depression}{symptoms:26}{symptoms:Dizziness}{symptoms:26}{symptoms:Shortness of breath}{symptoms:26}{symptoms:Sharp abdominal pain}{symptoms:26}{symptoms:Constipation}{symptoms:15}{symptoms:Smoking problems}{symptoms:15} Protein deficiency
243,Myoclonus,[{symptoms:Abnormal involuntary movements}{symptoms:85}{symptoms:Seizures}{symptoms:68}{symptoms:Eye moves abnormally}{symptoms:19}{symptoms:Problems with movement}{symptoms:19}{symptoms:Fainting}{symptoms:19}{symptoms:Drainage in throat}{symptoms:19}{symptoms:Sleepiness}{symptoms:19}{symptoms:Arm cramps or spasms}{symptoms:19}{symptoms:Disturbance of memory}{symptoms:19}{symptoms:Insomnia}{symptoms:19}{symptoms:Loss of sensation}{symptoms:19}{symptoms:Muscle swelling}{symptoms:1} Myoclonus
244,Bone spur of the calcaneous,[{symptoms:Foot or toe pain}{symptoms:94}{symptoms:Ankle pain}{symptoms:50}{symptoms:Foot or toe swelling}{symptoms:32}{symptoms:Leg pain}{symptoms:24}{symptoms:Paresthesia}{symptoms:14}{symptoms:Problems with movement}{symptoms:14}{symptoms:Joint pain}{symptoms:14}{symptoms:Weight gain}{symptoms:14}{symptoms:Muscle pain}{symptoms:14}{symptoms:Elbow pain}{symptoms:14}{symptoms:Heartburn}{symptoms:14}{symptoms:Ankle swelling}{symptoms:14} Bone spur of the calcaneous
245,Von Willebrand disease,[{symptoms:Nosebleed}{symptoms:58}{symptoms:Itchy scalp}{symptoms:20}{symptoms:Fatigue}{symptoms:20}{symptoms:Long menstrual periods}{symptoms:20}{symptoms:Wrist pain}{symptoms:20}{symptoms:Blood in stool}{symptoms:20}{symptoms:Arm pain}{symptoms:20}{symptoms:Heavy menstrual flow}{symptoms:20}{symptoms:Burning abdominal pain}{symptoms:20}{symptoms:Muscle swelling}{symptoms:1}{symptoms:Low back weakness}{symptoms:1}{symptoms:Abnormal size or shape of ear}{symptoms:1} Von Willebrand disease
246,Open wound of the back,[{symptoms:Skin lesion}{symptoms:23}{symptoms:Lower body pain}{symptoms:18}{symptoms:Weight gain}{symptoms:13}{symptoms:Throat feels tight}{symptoms:7}{symptoms:Irregular heartbeat}{symptoms:7}{symptoms:Lymphedema}{symptoms:7}{symptoms:Skin growth}{symptoms:7} Open wound of the back
247,Heart block,[{symptoms:Sharp chest pain}{symptoms:48}{symptoms:Shortness of breath}{symptoms:46}{symptoms:Dizziness}{symptoms:39}{symptoms:Fainting}{symptoms:33}{symptoms:Weakness}{symptoms:29}{symptoms:Palpitations}{symptoms:24}{symptoms:Chest tightness}{symptoms:18}{symptoms:Peripheral edema}{symptoms:15}{symptoms:Decreased heart rate}{symptoms:12}{symptoms:Weight gain}{symptoms:12}{symptoms:Increased heart rate}{symptoms:12}{symptoms:Irregular heartbeat}{symptoms:8} Heart block
248,Colonic polyp,[{symptoms:Rectal bleeding}{symptoms:42}{symptoms:Blood in stool}{symptoms:35}{symptoms:Constipation}{symptoms:31}{symptoms:Sharp abdominal pain}{symptoms:31}{symptoms:Diarrhea}{symptoms:28}{symptoms:Upper abdominal pain}{symptoms:17}{symptoms:Heartburn}{symptoms:13}{symptoms:Pain of the anus}{symptoms:11}{symptoms:Regurgitation}{symptoms:11}{symptoms:Flatulence}{symptoms:6}{symptoms:Changes in stool appearance}{symptoms:6}{symptoms:Discharge in stools}{symptoms:6} Colonic polyp
249,Hypospadias,[{symptoms:Retention of urine}{symptoms:29}{symptoms:Recent weight loss}{symptoms:17}{symptoms:Unusual color or odor to urine}{symptoms:17}{symptoms:Symptoms of the scrotum and testes}{symptoms:17}{symptoms:Skin growth}{symptoms:17}{symptoms:Suprapubic pain}{symptoms:17}{symptoms:Penis pain}{symptoms:17}{symptoms:Jaundice}{symptoms:17} Hypospadias
250,Magnesium deficiency,[{symptoms:Dizziness}{symptoms:49}{symptoms:Sharp abdominal pain}{symptoms:49}{symptoms:Leg pain}{symptoms:43}{symptoms:Sharp chest pain}{symptoms:36}{symptoms:Palpitations}{symptoms:36}{symptoms:Vomiting}{symptoms:36}{symptoms:Weakness}{symptoms:36}{symptoms:Seizures}{symptoms:36}{symptoms:Shortness of breath}{symptoms:27}{symptoms:Nausea}{symptoms:27}{symptoms:Diarrhea}{symptoms:27}{symptoms:Leg cramps or spasms}{symptoms:27} Magnesium deficiency
251,Female infertility of unknown cause,[{symptoms:Infertility}{symptoms:92}{symptoms:Unpredictable menstruation}{symptoms:15}{symptoms:Long menstrual periods}{symptoms:6}{symptoms:Scanty menstrual flow}{symptoms:3}{symptoms:Unwanted hair}{symptoms:2}{symptoms:Absence of menstruation}{symptoms:2}{symptoms:Bleeding or discharge from nipple}{symptoms:2}{symptoms:Loss of sex drive}{symptoms:2}{symptoms:Pain during intercourse}{symptoms:2}{symptoms:Irregular belly button}{symptoms:2} Female infertility of unknown cause
252,Pericarditis,[{symptoms:Sharp chest pain}{symptoms:88}{symptoms:Shortness of breath}{symptoms:66}{symptoms:Difficulty breathing}{symptoms:45}{symptoms:Chest tightness}{symptoms:45}{symptoms:Sharp abdominal pain}{symptoms:28}{symptoms:Nausea}{symptoms:28}{symptoms:Irregular heartbeat}{symptoms:21}{symptoms:Fainting}{symptoms:21}{symptoms:Palpitations}{symptoms:21}{symptoms:Lower body pain}{symptoms:12}{symptoms:Hurts to breath}{symptoms:12}{symptoms:Lymphedema}{symptoms:12} Pericarditis
253,Attention deficit hyperactivity disorder (ADHD),[{symptoms:Depressive or psychotic symptoms}{symptoms:53}{symptoms:Depression}{symptoms:34}{symptoms:Anxiety and nervousness}{symptoms:32}{symptoms:Hostile behavior}{symptoms:17}{symptoms:Excessive anger}{symptoms:17}{symptoms:Restlessness}{symptoms:15}{symptoms:Temper problems}{symptoms:9}{symptoms:Drug abuse}{symptoms:8}{symptoms:Obsessions and compulsions}{symptoms:8}{symptoms:Low self-esteem}{symptoms:4}{symptoms:Lack of growth}{symptoms:4}{symptoms:Antisocial behavior}{symptoms:2} Attention deficit hyperactivity disorder (ADHD)
254,Neuromyelitis optica,[{symptoms:Painful urination}{symptoms:77}{symptoms:Ache all over}{symptoms:77}{symptoms:Arm pain}{symptoms:77}{symptoms:Loss of sensation}{symptoms:77}{symptoms:Weakness}{symptoms:77}{symptoms:Diminished vision}{symptoms:77}{symptoms:Vulvar sore}{symptoms:11}{symptoms:Excessive growth}{symptoms:11}{symptoms:Knee lump or mass}{symptoms:11}{symptoms:Nailbiting}{symptoms:11}{symptoms:Shoulder swelling}{symptoms:11}{symptoms:Neck cramps or spasms}{symptoms:11} Neuromyelitis optica
255,Pulmonic valve disease,[{symptoms:Lack of growth}{symptoms:40}{symptoms:Leg pain}{symptoms:40}{symptoms:Shortness of breath}{symptoms:40}{symptoms:Low back pain}{symptoms:40}{symptoms:Elbow weakness}{symptoms:3}{symptoms:Elbow cramps or spasms}{symptoms:3}{symptoms:Excessive growth}{symptoms:3}{symptoms:Feeling hot and cold}{symptoms:3}{symptoms:Wrist weakness}{symptoms:3}{symptoms:Low back weakness}{symptoms:3}{symptoms:Emotional symptoms}{symptoms:3}{symptoms:Nailbiting}{symptoms:3} Pulmonic valve disease
256,Tietze syndrome,[{symptoms:Sharp chest pain}{symptoms:94}{symptoms:Rib pain}{symptoms:51}{symptoms:Shortness of breath}{symptoms:49}{symptoms:Cough}{symptoms:41}{symptoms:Back pain}{symptoms:41}{symptoms:Chest tightness}{symptoms:35}{symptoms:Side pain}{symptoms:27}{symptoms:Nausea}{symptoms:27}{symptoms:Hurts to breath}{symptoms:22}{symptoms:Difficulty breathing}{symptoms:22}{symptoms:Pain or soreness of breast}{symptoms:22}{symptoms:Loss of sensation}{symptoms:21} Tietze syndrome
257,Cranial nerve palsy,[{symptoms:Double vision}{symptoms:53}{symptoms:Headache}{symptoms:40}{symptoms:Diminished vision}{symptoms:35}{symptoms:Abnormal involuntary movements}{symptoms:29}{symptoms:Symptoms of the face}{symptoms:26}{symptoms:Loss of sensation}{symptoms:22}{symptoms:Abnormal movement of eyelid}{symptoms:22}{symptoms:Pupils unequal}{symptoms:19}{symptoms:Pain in eye}{symptoms:19}{symptoms:Facial pain}{symptoms:19}{symptoms:Difficulty speaking}{symptoms:10}{symptoms:Cramps and spasms}{symptoms:10} Cranial nerve palsy
258,Injury to the arm,[{symptoms:Wrist pain}{symptoms:80}{symptoms:Elbow pain}{symptoms:69}{symptoms:Arm pain}{symptoms:54}{symptoms:Hand or finger pain}{symptoms:38}{symptoms:Loss of sensation}{symptoms:21}{symptoms:Wrist swelling}{symptoms:19}{symptoms:Hand or finger swelling}{symptoms:14}{symptoms:Joint pain}{symptoms:11}{symptoms:Elbow swelling}{symptoms:10}{symptoms:Arm swelling}{symptoms:7}{symptoms:Arm stiffness or tightness}{symptoms:6}{symptoms:Bones are painful}{symptoms:4} Injury to the arm
259,Conversion disorder,[{symptoms:Seizures}{symptoms:69}{symptoms:Depression}{symptoms:58}{symptoms:Sweating}{symptoms:40}{symptoms:Allergic reaction}{symptoms:40}{symptoms:Weakness}{symptoms:40}{symptoms:Sore throat}{symptoms:40}{symptoms:Anxiety and nervousness}{symptoms:40}{symptoms:Abnormal involuntary movements}{symptoms:40}{symptoms:Fatigue}{symptoms:25}{symptoms:Cough}{symptoms:25}{symptoms:Focal weakness}{symptoms:25}{symptoms:Fainting}{symptoms:25} Conversion disorder
260,Complex regional pain syndrome,[{symptoms:Loss of sensation}{symptoms:63}{symptoms:Leg pain}{symptoms:52}{symptoms:Foot or toe pain}{symptoms:42}{symptoms:Paresthesia}{symptoms:40}{symptoms:Back pain}{symptoms:37}{symptoms:Ache all over}{symptoms:33}{symptoms:Arm pain}{symptoms:30}{symptoms:Hand or finger pain}{symptoms:28}{symptoms:Low back pain}{symptoms:27}{symptoms:Neck pain}{symptoms:26}{symptoms:Abnormal involuntary movements}{symptoms:19}{symptoms:Problems with movement}{symptoms:18} Complex regional pain syndrome
261,Otosclerosis,[{symptoms:Diminished hearing}{symptoms:94}{symptoms:Dizziness}{symptoms:53}{symptoms:Plugged feeling in ear}{symptoms:53}{symptoms:Ear pain}{symptoms:53}{symptoms:Elbow weakness}{symptoms:2}{symptoms:Nailbiting}{symptoms:2}{symptoms:Low back weakness}{symptoms:2}{symptoms:Emotional symptoms}{symptoms:2}{symptoms:Elbow cramps or spasms}{symptoms:2}{symptoms:Underweight}{symptoms:2}{symptoms:Wrist weakness}{symptoms:2}{symptoms:Muscle swelling}{symptoms:2} Otosclerosis
262,Injury to the trunk,[{symptoms:Back pain}{symptoms:72}{symptoms:Rib pain}{symptoms:59}{symptoms:Sharp chest pain}{symptoms:53}{symptoms:Low back pain}{symptoms:50}{symptoms:Neck pain}{symptoms:49}{symptoms:Shoulder pain}{symptoms:30}{symptoms:Headache}{symptoms:28}{symptoms:Lower body pain}{symptoms:20}{symptoms:Bones are painful}{symptoms:18}{symptoms:Wrist pain}{symptoms:14}{symptoms:Symptoms of the scrotum and testes}{symptoms:4}{symptoms:Sinus congestion}{symptoms:4} Injury to the trunk
263,Hypothyroidism,[{symptoms:Fatigue}{symptoms:30}{symptoms:Weight gain}{symptoms:12}{symptoms:Too little hair}{symptoms:4}{symptoms:Muscle pain}{symptoms:3}{symptoms:Hot flashes}{symptoms:2}{symptoms:Leg cramps or spasms}{symptoms:2}{symptoms:Absence of menstruation}{symptoms:1}{symptoms:Poor circulation}{symptoms:1}{symptoms:Wrist swelling}{symptoms:1}{symptoms:Feeling cold}{symptoms:1}{symptoms:Thirst}{symptoms:1} Hypothyroidism
264,Primary insomnia,[{symptoms:Insomnia}{symptoms:76}{symptoms:Abnormal breathing sounds}{symptoms:53}{symptoms:Fatigue}{symptoms:51}{symptoms:Apnea}{symptoms:40}{symptoms:Sleepiness}{symptoms:40}{symptoms:Headache}{symptoms:33}{symptoms:Anxiety and nervousness}{symptoms:33}{symptoms:Sleepwalking}{symptoms:33}{symptoms:Seizures}{symptoms:33}{symptoms:Neck pain}{symptoms:25}{symptoms:Abnormal involuntary movements}{symptoms:25}{symptoms:Delusions or hallucinations}{symptoms:20} Primary insomnia
265,Lice,[{symptoms:Itchy scalp}{symptoms:49}{symptoms:Skin rash}{symptoms:49}{symptoms:Cough}{symptoms:39}{symptoms:Itching of skin}{symptoms:32}{symptoms:Smoking problems}{symptoms:24}{symptoms:Skin lesion}{symptoms:24}{symptoms:Fever}{symptoms:24}{symptoms:Nasal congestion}{symptoms:24}{symptoms:Warts}{symptoms:24}{symptoms:Skin oiliness}{symptoms:14}{symptoms:Leg lump or mass}{symptoms:14}{symptoms:Sneezing}{symptoms:14} Lice
266,Vitamin B12 deficiency,[{symptoms:Fatigue}{symptoms:36}{symptoms:Paresthesia}{symptoms:14}{symptoms:Disturbance of memory}{symptoms:14}{symptoms:Problems with movement}{symptoms:9}{symptoms:Sweating}{symptoms:6}{symptoms:Symptoms of the face}{symptoms:6}{symptoms:Heartburn}{symptoms:6}{symptoms:Hot flashes}{symptoms:6}{symptoms:Leg cramps or spasms}{symptoms:3}{symptoms:Abnormal appearing tongue}{symptoms:3}{symptoms:Too little hair}{symptoms:3}{symptoms:Knee stiffness or tightness}{symptoms:3} Vitamin B12 deficiency
267,Diabetes,[{symptoms:Weight gain}{symptoms:7}{symptoms:Thirst}{symptoms:2}{symptoms:Symptoms of the kidneys}{symptoms:1} Diabetes
268,Vulvodynia,[{symptoms:Pelvic pain}{symptoms:76}{symptoms:Sharp abdominal pain}{symptoms:74}{symptoms:Lower abdominal pain}{symptoms:52}{symptoms:Pain during pregnancy}{symptoms:34}{symptoms:Nausea}{symptoms:25}{symptoms:Back pain}{symptoms:24}{symptoms:Vaginal pain}{symptoms:23}{symptoms:Side pain}{symptoms:22}{symptoms:Vaginal discharge}{symptoms:20}{symptoms:Burning abdominal pain}{symptoms:19}{symptoms:Painful urination}{symptoms:17}{symptoms:Cramps and spasms}{symptoms:16} Vulvodynia
269,Endometriosis,[{symptoms:Pelvic pain}{symptoms:67}{symptoms:Sharp abdominal pain}{symptoms:61}{symptoms:Lower abdominal pain}{symptoms:30}{symptoms:Painful menstruation}{symptoms:28}{symptoms:Heavy menstrual flow}{symptoms:20}{symptoms:Burning abdominal pain}{symptoms:18}{symptoms:Infertility}{symptoms:15}{symptoms:Intermenstrual bleeding}{symptoms:12}{symptoms:Hot flashes}{symptoms:10}{symptoms:Absence of menstruation}{symptoms:10}{symptoms:Vaginal pain}{symptoms:10}{symptoms:Chills}{symptoms:10} Endometriosis
270,Vasculitis,[{symptoms:Skin rash}{symptoms:46}{symptoms:Skin lesion}{symptoms:38}{symptoms:Headache}{symptoms:35}{symptoms:Leg pain}{symptoms:30}{symptoms:Dizziness}{symptoms:25}{symptoms:Lymphedema}{symptoms:9}{symptoms:Foot or toe swelling}{symptoms:6}{symptoms:Plugged feeling in ear}{symptoms:6}{symptoms:Skin irritation}{symptoms:6}{symptoms:Swollen tongue}{symptoms:3}{symptoms:Leg lump or mass}{symptoms:3}{symptoms:Leg stiffness or tightness}{symptoms:3} Vasculitis
271,Concussion,[{symptoms:Headache}{symptoms:83}{symptoms:Dizziness}{symptoms:49}{symptoms:Neck pain}{symptoms:45}{symptoms:Vomiting}{symptoms:31}{symptoms:Disturbance of memory}{symptoms:30}{symptoms:Nausea}{symptoms:29}{symptoms:Back pain}{symptoms:28}{symptoms:Facial pain}{symptoms:15}{symptoms:Sleepiness}{symptoms:11}{symptoms:Rib pain}{symptoms:8}{symptoms:Double vision}{symptoms:6}{symptoms:Difficulty speaking}{symptoms:5} Concussion
272,Oral leukoplakia,[{symptoms:Tongue lesions}{symptoms:73}{symptoms:Fever}{symptoms:45}{symptoms:Hemoptysis}{symptoms:45}{symptoms:Skin swelling}{symptoms:45}{symptoms:Gum pain}{symptoms:45}{symptoms:Mouth pain}{symptoms:45}{symptoms:Elbow cramps or spasms}{symptoms:3}{symptoms:Elbow weakness}{symptoms:3}{symptoms:Excessive growth}{symptoms:3}{symptoms:Underweight}{symptoms:3}{symptoms:Low back weakness}{symptoms:3}{symptoms:Wrist weakness}{symptoms:3} Oral leukoplakia
273,Chronic kidney disease,[{symptoms:Fatigue}{symptoms:35}{symptoms:Shortness of breath}{symptoms:25}{symptoms:Symptoms of the kidneys}{symptoms:21}{symptoms:Peripheral edema}{symptoms:13}{symptoms:Feeling cold}{symptoms:2}{symptoms:Unusual color or odor to urine}{symptoms:2} Chronic kidney disease
274,Bladder disorder,[{symptoms:Symptoms of bladder}{symptoms:59}{symptoms:Blood in urine}{symptoms:53}{symptoms:Frequent urination}{symptoms:46}{symptoms:Sharp abdominal pain}{symptoms:36}{symptoms:Retention of urine}{symptoms:33}{symptoms:Involuntary urination}{symptoms:30}{symptoms:Suprapubic pain}{symptoms:27}{symptoms:Painful urination}{symptoms:20}{symptoms:Bladder mass}{symptoms:20}{symptoms:Coryza}{symptoms:20}{symptoms:Pelvic pain}{symptoms:16}{symptoms:Lower abdominal pain}{symptoms:16} Bladder disorder
275,Chorioretinitis,[{symptoms:Diminished vision}{symptoms:78}{symptoms:Spots or clouds in vision}{symptoms:55}{symptoms:Eye burns or stings}{symptoms:32}{symptoms:Pain in eye}{symptoms:32}{symptoms:Itchiness of eye}{symptoms:19}{symptoms:Double vision}{symptoms:19}{symptoms:Foreign body sensation in eye}{symptoms:19}{symptoms:Muscle swelling}{symptoms:1}{symptoms:Elbow cramps or spasms}{symptoms:1}{symptoms:Pus in urine}{symptoms:1}{symptoms:Low back weakness}{symptoms:1}{symptoms:Knee cramps or spasms}{symptoms:1} Chorioretinitis
276,Priapism,[{symptoms:Penis pain}{symptoms:85}{symptoms:Painful urination}{symptoms:51}{symptoms:Back pain}{symptoms:33}{symptoms:Pain during intercourse}{symptoms:33}{symptoms:Leg cramps or spasms}{symptoms:33}{symptoms:Impotence}{symptoms:33}{symptoms:Drug abuse}{symptoms:33}{symptoms:Allergic reaction}{symptoms:33}{symptoms:Premature ejaculation}{symptoms:33}{symptoms:Ache all over}{symptoms:33}{symptoms:Abusing alcohol}{symptoms:33}{symptoms:Elbow weakness}{symptoms:2} Priapism
277,Myositis,[{symptoms:Leg pain}{symptoms:42}{symptoms:Knee pain}{symptoms:40}{symptoms:Skin rash}{symptoms:26}{symptoms:Back pain}{symptoms:26}{symptoms:Headache}{symptoms:26}{symptoms:Loss of sensation}{symptoms:22}{symptoms:Paresthesia}{symptoms:18}{symptoms:Muscle pain}{symptoms:18}{symptoms:Hip pain}{symptoms:18}{symptoms:Lower body pain}{symptoms:12}{symptoms:Leg weakness}{symptoms:12}{symptoms:Problems with movement}{symptoms:12} Myositis
278,Mononucleosis,[{symptoms:Sore throat}{symptoms:85}{symptoms:Fever}{symptoms:70}{symptoms:Headache}{symptoms:57}{symptoms:Swollen lymph nodes}{symptoms:41}{symptoms:Fatigue}{symptoms:41}{symptoms:Ache all over}{symptoms:36}{symptoms:Ear pain}{symptoms:36}{symptoms:Cough}{symptoms:36}{symptoms:Nasal congestion}{symptoms:33}{symptoms:Skin rash}{symptoms:30}{symptoms:Feeling ill}{symptoms:27}{symptoms:Nausea}{symptoms:27} Mononucleosis
279,Neuralgia,[{symptoms:Back pain}{symptoms:73}{symptoms:Leg pain}{symptoms:64}{symptoms:Loss of sensation}{symptoms:60}{symptoms:Neck pain}{symptoms:57}{symptoms:Low back pain}{symptoms:54}{symptoms:Ache all over}{symptoms:40}{symptoms:Arm pain}{symptoms:38}{symptoms:Foot or toe pain}{symptoms:34}{symptoms:Headache}{symptoms:34}{symptoms:Hip pain}{symptoms:31}{symptoms:Paresthesia}{symptoms:31}{symptoms:Shoulder pain}{symptoms:30} Neuralgia
280,Polycystic kidney disease,[{symptoms:Side pain}{symptoms:45}{symptoms:Blood in urine}{symptoms:40}{symptoms:Sharp abdominal pain}{symptoms:34}{symptoms:Kidney mass}{symptoms:31}{symptoms:Back pain}{symptoms:28}{symptoms:Low back pain}{symptoms:24}{symptoms:Painful urination}{symptoms:16}{symptoms:Symptoms of the kidneys}{symptoms:16}{symptoms:Retention of urine}{symptoms:16}{symptoms:Frequent urination}{symptoms:16}{symptoms:Suprapubic pain}{symptoms:16}{symptoms:Skin growth}{symptoms:11} Polycystic kidney disease
281,Bipolar disorder,[{symptoms:Depressive or psychotic symptoms}{symptoms:64}{symptoms:Depression}{symptoms:62}{symptoms:Anxiety and nervousness}{symptoms:48}{symptoms:Insomnia}{symptoms:21}{symptoms:Hostile behavior}{symptoms:21}{symptoms:Delusions or hallucinations}{symptoms:20}{symptoms:Abusing alcohol}{symptoms:18}{symptoms:Drug abuse}{symptoms:18}{symptoms:Excessive anger}{symptoms:15}{symptoms:Temper problems}{symptoms:13}{symptoms:Fears and phobias}{symptoms:7}{symptoms:Obsessions and compulsions}{symptoms:4} Bipolar disorder
282,Amyloidosis,[{symptoms:Shortness of breath}{symptoms:72}{symptoms:Fatigue}{symptoms:43}{symptoms:Anxiety and nervousness}{symptoms:43}{symptoms:Symptoms of the kidneys}{symptoms:43}{symptoms:Congestion in chest}{symptoms:43}{symptoms:Fever}{symptoms:43}{symptoms:Weakness}{symptoms:43}{symptoms:Abnormal appearing skin}{symptoms:43}{symptoms:Wrist weakness}{symptoms:3}{symptoms:Nailbiting}{symptoms:3}{symptoms:Eye strain}{symptoms:3}{symptoms:Feeling hot and cold}{symptoms:3} Amyloidosis
283,Chronic inflammatory demyelinating polyneuropathy (CIDP),[{symptoms:Loss of sensation}{symptoms:78}{symptoms:Weakness}{symptoms:67}{symptoms:Problems with movement}{symptoms:53}{symptoms:Leg weakness}{symptoms:53}{symptoms:Leg cramps or spasms}{symptoms:27}{symptoms:Abnormal involuntary movements}{symptoms:27}{symptoms:Facial pain}{symptoms:27}{symptoms:Fatigue}{symptoms:27}{symptoms:Hand or finger weakness}{symptoms:27}{symptoms:Focal weakness}{symptoms:27}{symptoms:Dizziness}{symptoms:27}{symptoms:Leg pain}{symptoms:27} Chronic inflammatory demyelinating polyneuropathy (CIDP)
284,Gastroesophageal reflux disease (GERD),[{symptoms:Sharp chest pain}{symptoms:44}{symptoms:Sharp abdominal pain}{symptoms:43}{symptoms:Vomiting}{symptoms:33}{symptoms:Heartburn}{symptoms:33}{symptoms:Cough}{symptoms:33}{symptoms:Nausea}{symptoms:28}{symptoms:Burning abdominal pain}{symptoms:21}{symptoms:Upper abdominal pain}{symptoms:16}{symptoms:Difficulty in swallowing}{symptoms:16}{symptoms:Regurgitation}{symptoms:13}{symptoms:Chest tightness}{symptoms:11}{symptoms:Hoarse voice}{symptoms:10} Gastroesophageal reflux disease (GERD)
285,Vitreous hemorrhage,[{symptoms:Diminished vision}{symptoms:83}{symptoms:Spots or clouds in vision}{symptoms:72}{symptoms:Blindness}{symptoms:40}{symptoms:Symptoms of eye}{symptoms:35}{symptoms:Pain in eye}{symptoms:30}{symptoms:Bleeding from eye}{symptoms:30}{symptoms:Lacrimation}{symptoms:10} Vitreous hemorrhage
